职位,学历,经验,公司,"城市,",区域,商圈,技能列表,福利列表
Pipeline TD,本科,1-3年,拾梦猫(重庆),重庆,江北区,五里店,"['Python', 'C++', '架构设计经验', '团队管理经验']","['五险一金', '宿舍有空调', '零食下午茶', '团建聚餐', '生日福利']"
php工程师,本科,3-5年,银枣软件,重庆,南岸区,茶园新区,"['Laravel/Yii/ThinkPHP', '服务端开发经验', 'PHP开发经验', 'PHP', 'MySQL/Redis/MongoDB', '计算机相关专业', '架构设计经验', '大数据项目开发经验']","['带薪年假', '五险一金', '保底工资', '全勤奖', '绩效奖金']"
Python/Java/C++/Go/web开发测试前端工程师,本科,经验不限,华为,重庆,渝北区,人和,"['Java', 'Python', 'C++', 'Spring', 'SpringCloud', 'Oracle', 'MySQL']","['股票期权', '法定节假日三薪', '年终奖', '夜班补助', '团建聚餐', '意外险', '交通补助', '节假日加班费', '节日福利', '企业年金', '加班补助', '免费班车', '零食下午茶', '定期体检', '五险一金', '员工旅游', '带薪年假', '绩效奖金', '补充医疗保险', '保底工资']"
python人工智能大数据开发工程师,学历不限,经验不限,云从科技,重庆,渝北区,大竹林,"['数据开发', 'Python']","['免费班车', '年终奖', '零食下午茶', '带薪年假', '五险一金', '节日福利', '餐补']"
Python开发工程师,大专,1-3年,众人游,重庆,渝中区,大坪,['数据结构'],"['带薪年假', '加班补助', '五险一金', '年终奖', '全勤奖', '员工旅游', '通讯补贴']"
Python高级开发工程师,大专,1-3年,金翅膀,重庆,渝北区,汽博中心,"['网络爬虫技术', '网络编程', '算法基础', '多线程', '高级软件工程师', 'MySQL', 'SQL Server', 'Redis']",['带薪年假']
Python测试 开发 工程师【外企 不加班 】,本科,5-10年,纬创软件,重庆,渝北区,黄泥塝,"['Java', 'Selenium', 'Python']","['定期体检', '零食下午茶', '带薪年假', '五险一金', '补充医疗保险', '员工旅游', '团建聚餐', '节日福利']"
AI布署工程师,本科,在校/应届,立洋环保,重庆,渝北区,双凤桥,"['PyTorch', 'Linux开发/部署经验', 'Python', 'TensorFlow']","['年终奖', '通讯补贴', '包吃', '交通补助', '带薪年假', '节日福利', '五险']"
Python,本科,1-3年,重庆星渊智联科技,重庆,九龙坡区,杨家坪,"['PyTorch', 'MySQL', '接受无前端经验/技能', '架构设计经验', 'Linux开发/部署经验', 'Python']","['团建聚餐', '零食下午茶', '五险一金']"
大模型应用开发实习生（可转正）,本科,,德勤华庆商务服务,重庆,渝中区,鹅岭,"['Python', 'TensorFlow', 'PyTorch', 'MySQL', 'Redis', '机器学习经验', '云计算经验', '接受实习/在校生投递']","['带薪年假', '补充医疗保险', '五险一金', '节日福利', '加班补助', '定期体检', '年终奖']"
游戏开发工程师,本科,经验不限,红海科技,重庆,江北区,五里店,"['C/C++', 'Cocos2d-x', '手游开发经验', '计算机/软件工程相关专业', '休闲出海游戏']","['住房补贴', '年终奖', '零食下午茶', '股票期权', '五险一金', '员工旅游', '绩效奖金', '节日福利', '餐补', '团建聚餐']"
算法工程师,本科,1-3年,重庆荆棘鸟软件,重庆,渝北区,大竹林,"['机器视觉', '图像算法', '深度学习', '大模型算法', '自然语言处理算法', '算法工程化经验', '大模型', '模型加速/性能优化', 'Python']","['团建聚餐', '五险', '补充医疗保险', '五险一金', '零食下午茶', '加班福利', '员工旅游', '餐补', '带薪年假', '加班晚餐', '包吃', '年终奖', '股票期权', '保底工资', '底薪加提成', '资格考试培训', '加班补助', '节日福利', '夜班补助', '包午餐']"
python高级开发工程师,大专,3-5年,重庆菲绚联筑科技,重庆,渝中区,渝州路,"['Python', 'Numpy', 'Pandas', 'Selenium', 'MySQL', '架构设计经验', 'Linux开发/部署经验', '爬虫经验']",[]
中级Python开发工程师（人工智能方向）,本科,3-5年,重庆鉴越科技有限公司,重庆,南岸区,南坪,"['Python', 'Django', 'Flask', 'MySQL', 'DeepSeek', 'ChatGPT']","['结婚礼金', '团建聚餐', '带薪年假', '加班补助', '生子礼金', '五险一金', '员工旅游', '有无线网', '年终奖']"
Python后端开发工程师,本科,1-3年,盛海科技,重庆,南岸区,茶园新区,"['Django', 'Flask', 'SQLite']","['带薪年假', '年终奖', '通讯补贴', '五险一金', '零食下午茶', '节日福利']"
研发主管,本科,5-10年,重庆瞰图科技有限公司,重庆,九龙坡区,渝州路,"['Java', 'Python', 'Golang', 'SpringCloud', 'MySQL', 'MongoDB', '团队管理经验']",['带薪年假']
软件开发（OD岗）,本科,经验不限,华为,重庆,,,"['Python', 'Golang', 'Java', 'C++', 'C', 'Linux开发/部署经验', '机器学习经验', '运维开发经验', '爬虫经验']","['节假日加班费', '定期体检', '意外险', '交通补助', '加班补助', '员工旅游', '年终奖', '带薪年假', '零食下午茶', '绩效奖金', '夜班补助', '节日福利', '企业年金', '免费班车', '团建聚餐', '股票期权', '法定节假日三薪', '保底工资', '补充医疗保险', '五险一金']"
python数据分析师,大专,1-3年,景润,重庆,渝北区,空港新城,['Python'],['五险']
Python算法初级工程师,本科,1-3年,途普智能,重庆,沙坪坝区,大学城,"['PyTorch', 'Django', 'MySQL', 'Python', 'Flask']","['五险一金', '节日福利', '带薪年假', '定期体检', '有无线网']"
python开发工程师,大专,1-3年,乐教集团,重庆,江北区,海尔路,"['Scrapy', 'Docker', '运维开发经验', '云计算经验', 'Selenium', 'Python']","['加班补助', '工龄奖', '底薪加提成', '五险一金', '团建聚餐', '员工旅游', '带薪年假', '交通补助', '节日福利', '年终奖']"
游戏脚本开发工程师,本科,10年以上,创友汇,重庆,江北区,五里店,"['Python', 'Golang', 'PHP', '其他', 'Django', 'Flask', 'Tornado', 'Numpy', 'Docker', 'MySQL', 'Redis', 'Oracle', 'MongoDB', '架构设计经验', '分布式经验', '爬虫经验', '运维开发经验', '机器学习经验']","['保底工资', '绩效奖金']"
大模型Al编辑-计算机方向,本科,,禹迹科技,重庆,,,"['Python', 'Java', 'C++', 'C', 'C#', 'Django', 'Flask', 'MySQL']","['五险一金', '加班补助', '全勤奖', '法定节假日', '零食下午茶', '节日福利', '带薪年假']"
技术开发,本科,1年以内,洋飒科技,重庆,渝中区,解放碑,"['Java', 'C++', '不接受居家办公', 'C', 'SpringCloud', 'MySQL', 'MyBatis', 'Redis', 'Spring', 'Oracle']","['企业年金', '意外险', '节日福利', '零食下午茶', '绩效奖金', '餐补', '节假日加班费', '住房补贴', '加班补助', '工龄奖', '法定节假日三薪', '带薪年假', '员工旅游', '团建聚餐', '定期体检', '五险一金', '年终奖', '全勤奖', '补充医疗保险', '生日福利']"
金融测试讲师,本科,3-5年,蓝金领科技,重庆,渝中区,解放碑,"['职业培训班', '线下教学']",[]
大模型微调,大专,1-3年,鑫隆互联,重庆,北碚区,朝阳,"['PyTorch', 'Hadoop', 'Linux开发/部署经验', 'Python']","['有无线网', '交通补助', '全勤奖', '保底工资', '团建聚餐', '带薪年假', '底薪加提成', '五险一金']"
大数据工程师,本科,3-5年,天阳科技,重庆,江北区,观音桥,"['数据库内核开发经验', 'PostgreSQL原理/源码', 'Hive', '要求数据开发经验', '大数据引擎开发经验', '其他数据开发经验', '其他', '数据平台开发经验', '数据仓库开发经验', '金融行业经验', 'SQL', 'Python']","['五险一金', '带薪年假', '餐补', '节日福利', '双休']"
python自动化开发,本科,1-3年,大象跳舞,重庆,南岸区,南坪,"['Java', 'C++', 'MySQL', 'Python']",[]
中高级Python工程师,本科,1-3年,美杰智荟,重庆,渝中区,总部城,"['Django', 'PostgreSQL', 'MySQL', 'Redis', 'Oracle', 'Linux开发/部署经验', 'Python', 'Flask']",[]
期权量化交易员,本科,3-5年,未来投资,重庆,江北区,观音桥,['期权 量化交易'],"['股票期权', '生日福利', '底薪加提成', '有无线网', '交通补助', '零食下午茶', '工龄奖', '团建聚餐', '绩效奖金', '保底工资', '节日福利', '五险一金']"
DeepSeek开发人员,大专,3-5年,医事通科技,重庆,渝中区,上清寺,['Python'],"['工龄奖', '年终奖', '节日福利']"
Python高级研发工程师,本科,3-5年,澈略科技,重庆,,,"['SQL', '网络爬虫技术', '数据结构', 'MySQL', 'Redis', 'PostgreSQL', 'Django', 'Flask']","['员工旅游', '带薪年假', '五险一金', '年终奖', '保底工资', '工龄奖', '加班补助', '团建聚餐']"
初级python开发工程师,本科,3-5年,微助大数据,重庆,渝北区,汽博中心,"['Python', 'Docker', 'Kubernetes', 'MySQL', 'MongoDB', '量化交易开发经验']",[]
软件开发,学历不限,经验不限,善为法律,重庆,渝中区,渝州路,"['接受居家办公', 'Java', 'C', 'Python', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', 'Oracle', '架构设计经验', '分布式经验']","['绩效奖金', '意外险', '工龄奖', '带薪年假', '定期体检', '补充医疗保险', '全勤奖', '加班补助', '五险一金', '生日福利', '节日福利', '年终奖', '法定节假日三薪', '节假日加班费', '有无线网', '底薪加提成', '员工旅游']"
Python（信息渠道合伙人）,学历不限,经验不限,金柏鸿集团,重庆,渝北区,龙溪,"['Python', 'Django', 'MySQL']",[]
python爬虫开发工程师,本科,3-5年,御芯微,重庆,沙坪坝区,大学城,"['python', '爬虫开发']","['股票期权', '补充医疗保险', '节日福利', '底薪加提成', '带薪年假', '年终奖', '包吃', '员工旅游', '零食下午茶', '定期体检', '生日福利', '定期体检', '团建聚餐', '绩效奖金', '五险一金', '不打卡', '开放扁平', '住房补贴']"
中级Python工程师,本科,1-3年,深圳玩家盟,重庆,渝北区,人和,"['留学生优先', '国内院校优先', 'Python', 'Django', '其他', 'MySQL', 'Redis', 'MongoDB', 'Linux开发/部署经验', '爬虫经验', '运维开发经验']",[]
对日 软件开发工程师,本科,5-10年,鲸立教育,重庆,沙坪坝区,小龙坎,"['Java', 'C', 'C++', 'C#', 'Python', 'Spring', 'SpringCloud', 'MyBatis', 'Hibernate', 'Kafka', 'MySQL', 'Redis', 'Oracle', 'MongoDB', '架构设计经验', '分布式经验', '微服务经验', '云计算经验', '不接受居家办公']","['加班补助', '员工旅游', '年终奖', '定期体检', '五险一金']"
Python开发工程师,本科,1-3年,视服数科,重庆,渝北区,回兴,"['数据库开发', 'Python', 'C++', 'Java', 'Go', '分布式技术', '容器技术', '网络爬虫技术']","['年终奖', '定期体检', '全勤奖', '股票期权', '五险一金', '带薪年假']"
python爬虫,大专,3-5年,泓屹嘉成,重庆,渝北区,空港新城,"['Python', '爬虫', 'Java', 'Shell', 'webmagic']","['定期体检', '五险一金']"
Senior Python Engineer（Remote远程 EN）,本科,5-10年,某企业服务公司,重庆,,,"['Python', 'Django', 'Flask', 'Tornado', 'MySQL', 'Redis']",[]
python工程师,本科,3-5年,同沃汽车,重庆,,,"['Python', 'Django', 'Docker', 'MySQL', 'PostgreSQL']","['五险一金', '年终奖', '带薪年假', '节日福利', '生日福利']"
大模型Python开发工程师,本科,3-5年,浩安捷成,重庆,南岸区,南坪,"['Python', 'Golang', 'Pandas', 'PyTorch', 'Linux开发/部署经验', '机器学习经验', '运维开发经验', '大模型开发', 'Dify']","['节日福利', '五险一金', '项目奖金']"
python开发工程师,本科,1-3年,元间科技,重庆,江津区,双福,"['后端', '机器学习/算法工程', '数据开发', '计算机相关专业', '机器学习工程经验']","['住房补贴', '年终奖', '餐补', '节假日加班费', '五险一金', '零食下午茶']"
Scratch、Python、C++编程讲师,本科,1-3年,重庆高新技术产业...,重庆,沙坪坝区,大学城,"['信奥赛', 'C++', '大型教育机构经验', '培训机构', '10：00上班']","['员工旅游', '带薪年假', '五险', '保底工资', '年终奖', '全勤奖', '零食下午茶', '团建聚餐', '免费工装', '交通补助', '餐补', '通讯补贴', '底薪加提成', '节日福利', '有无线网', '绩效奖金', '住房补贴', '生日福利']"
Python后端开发,本科,3-5年,博尼施,重庆,渝北区,大竹林,"['微服务经验', 'Django', 'MySQL', 'Python']","['加班补助', '五险一金', '团建聚餐', '法定节假日三薪', '股票期权', '节假日加班费', '带薪年假', '年终奖', '员工旅游', '节日福利', '零食下午茶']"
全国均有岗位(开发/测试/前端/算法/运维),本科,经验不限,华为技术,重庆,江北区,观音桥,"['Java', 'C++', 'MySQL', 'Spring', 'Python']",[]
数据模型助理岗（富民）,本科,3-5年,常州科睿达,重庆,渝北区,新牌坊,"['要求数据开发经验', '数据建模经验', '金融行业经验', '数据平台开发经验', '其他', 'Python', 'Hadoop']","['补充医疗保险', '员工旅游', '加班补助', '五险一金']"
Python工程师（flask）-云办公,本科,5-10年,云生活,重庆,江北区,观音桥,['Python'],"['带薪年假', '全勤奖', '年终奖', '零食下午茶', '员工旅游', '节日福利', '加班补助']"
Python开发工程师（AI/大模型方向）,本科,3-5年,淘景立画,重庆,渝北区,人和,"['Python', 'Flask', 'PyTorch', 'MySQL', '开源AI', 'AI', 'Transformers', 'RAG', 'AI大模型']","['股票期权', '意外险', '五险一金', '通讯补贴', '节日福利', '交通补助', '年终奖', '员工旅游', '定期体检', '加班补助', '带薪年假', '餐补']"
python高级工程师,本科,3-5年,达信能,重庆,九龙坡区,华岩,"['Docker', 'Django', 'PostgreSQL', 'MySQL', 'Python', 'Flask']","['餐补', '底薪加提成', '有无线网']"
编程教师,本科,1-3年,码小奔编程,重庆,,,"['销售经验', '机器人', 'python', 'C++', '教师', '小班教学（3-25人）', 'STEAM', '线下教育', 'scratch', '全职', '坐班', '熟练掌握计算机语言', '理工科教育背景', '学前儿童/小学生']","['免费工装', '团建聚餐', '带薪年假', '保底工资', '绩效奖金', '五险一金']"
数据挖掘工程师,本科,3-5年,江苏超正科技,重庆,渝北区,空港新城,"['Python', 'NLP', '数据挖掘', '算法']","['节日福利', '五险一金', '股票期权']"
C/C++/GO/JAVA/JS/Python 开发工程师,本科,经验不限,腾讯云,重庆,渝北区,龙溪,"['Python', 'Golang', 'Java', 'Linux开发/部署经验', '分布式经验', '微服务经验', '嵌入式软件经验', '架构设计经验']","['五险一金', '带薪年假', '年终奖', '定期体检', '零食下午茶', '员工旅游', '节日福利', '加班补助']"
测试开发工程师,大专,3-5年,重庆赫菲斯科技,重庆,渝北区,人和,[],"['零食下午茶', '带薪年假', '五险一金']"
软件开发,大专,3-5年,某大型汽车零部件公司,重庆,,,['C'],"['五险一金', '团建聚餐', '节日福利', '包吃住', '带薪年假', '生日福利', '年终奖', '高温补贴']"
python开发工程师,本科,经验不限,融智国创,重庆,渝北区,龙溪,"['Python', 'Django', 'Selenium', 'MySQL']","['带薪年假', '五险一金', '定期体检', '零食下午茶', '生日福利', '年终奖', '绩效奖金', '节日福利', '股票期权', '分红', '保底工资', '员工旅游']"
兼职编程老师,本科,1-3年,硕博文化艺术,重庆,沙坪坝区,大学城,"['scratch', 'python', 'C++', '乐高', '少儿编程', '算发', '编程培训', '少儿编程老师']",[]
Python高级工程师,学历不限,经验不限,贸赢信息,重庆,渝北区,汽博中心,"['Linux', '软件工程师', 'python', '机器学习', '人工智能']","['购买保险', '法定节假日休', '年终奖', '员工旅游', '节日福利', '加班补助', '零食下午茶']"
大模型开发工程师,本科,1-3年,德勤勤跃,重庆,渝中区,重庆天地,"['Python', 'Numpy', 'Pandas', 'Docker', 'Elasticsearch', 'Flask', 'MySQL', 'Redis', 'PostgreSQL', 'Linux开发/部署经验', '云计算经验', '架构设计经验', 'AIGC', 'LLM', 'LangChain', 'RAG']","['定期体检', '员工旅游', '零食下午茶', '带薪年假', '补充医疗保险', '节日福利', '在家办公', '年终奖', '五险一金']"
软件开发工程师,本科,5-10年,道微投资,重庆,,,"['Java', 'C++', 'C语言', 'Linux', 'Go', '软件工程师', '后端开发', 'Python']","['五险一金', '节日福利', '零食下午茶']"
python数据分析师,大专,1-3年,明冬教育,重庆,九龙坡区,杨家坪,"['Python', '计算机相关专业']",[]
高级python开发工程师,大专,5-10年,某500强上市公司,重庆,,,"['后端', 'Python', 'Django']","['年终奖', '五险一金', '零食下午茶', '加班补助', '节日福利', '免费班车', '定期体检', '带薪年假']"
python高级开发工程师,本科,1-3年,骁鸥,重庆,南岸区,四公里,['Python'],"['绩效奖金', '保底工资', '五险一金', '年终奖']"
c++服务器开发工程师,本科,1-3年,一七,重庆,南岸区,南坪,"['C++', 'Golang', 'MySQL', 'Linux开发/部署经验', '分布式经验', '游戏服务器', 'C语言']","['五险一金', '股票期权', '节日福利', '团建聚餐', '零食下午茶', '餐补']"
Python,本科,3-5年,重庆聚我行,重庆,渝北区,汽博中心,"['Python', 'Django', 'Flask', 'Docker', 'MySQL', '后端']",[]
python开发工程师,本科,3-5年,云蜥数字,重庆,渝北区,光电园,"['Java', 'Pandas', 'MySQL', 'Numpy', 'Python']","['股票期权', '节日福利', '交通补助', '节假日加班费', '生日福利', '绩效奖金', '餐补', '零食下午茶', '带薪年假', '法定节假日三薪', '定期体检', '五险一金', '团建聚餐', '年终奖', '住房补贴', '有无线网']"
python高级讲师,本科,3-5年,武汉融合一公里教...,重庆,南岸区,南坪,"['Scrapy', '团队管理经验', '爬虫经验', 'Django', 'MySQL', 'Redis', 'MongoDB', '架构设计经验', 'Python', 'Flask']",[]
Python人工智能开发工程师（应届生可投）,本科,经验不限,数地,重庆,渝北区,汽博中心,"['Python', 'Lanchain', 'LLM', 'AI、人工智能']","['年终奖', '定期体检', '加班补助', '包吃', '交通补助', '带薪年假', '员工旅游', '餐补', '免费双餐', '五险一金', '节日福利', '零食下午茶', '股票期权']"
python高级开发工程师,大专,1-3年,新光互动,重庆,渝北区,人和,"['Python', '计算机相关专业']","['节日福利', '加班补助', '零食下午茶', '员工旅游', '团建聚餐', '保底工资', '五险']"
资深全栈工程师,大专,5-10年,佰赫宫,重庆,渝中区,渝州路,"['全栈无侧重', 'JavaScript', 'HTML', 'CSS', 'MySQL/Redis/MongoDB', '全栈项目经验', 'Python ', 'ComfyUI']",[]
量化交易开发工程师,本科,经验不限,重庆亿链纵横科技,重庆,渝北区,光电园,"['Python', '量化交易开发经验']","['带薪年假', '五险一金', '年终奖', '定期体检', '工龄奖', '节日福利']"
数据采集工程师,本科,1-3年,重庆文冠建设工程咨询,重庆,九龙坡区,石桥铺,[],"['底薪加提成', '年终奖', '意外险']"
初级python开发工程师,本科,1-3年,成都新致云服信息技术,重庆,渝北区,龙溪,"['Pandas', 'MySQL', 'Python']","['员工旅游', '意外险', '五险一金', '带薪年假', '定期体检', '团建聚餐', '节日福利', '补充医疗保险', '股票期权']"
APP开发工程师,大专,3-5年,智铸华信,重庆,沙坪坝区,大学城,"['C++', 'C', 'Android客户端产品研发']","['团建聚餐', '年终奖', '节日福利', '股票期权', '生日福利', '五险一金', '零食下午茶', '加班补助', '带薪年假', '高温补贴']"
Python采集开发,本科,1-3年,邦得鼎盛,重庆,渝北区,嘉州,"['网络爬虫技术', '数据结构']","['员工旅游', '带薪年假', '年终奖', '全勤奖', '节日福利']"
后端开发工程师,本科,3-5年,云沭数据,重庆,南岸区,南坪,"['Golang', 'C++', 'C']","['五险一金', '有无线网', '餐补', '交通补助', '绩效奖金', '团建聚餐', '带薪年假', '节日福利', '生日福利']"
天才型高级Java懂Python,大专,5-10年,环湾科技,重庆,渝中区,朝天门,"['Java', 'Python', '计算机相关专业', '数学/统计相关专业', '机器学习算法/工程化经验', '金融机构策略开发/建模经验']",[]
python开发工程师,本科,经验不限,某大型计算机软件公司,重庆,,,"['Python', 'Golang', 'Java', 'C++', 'C', 'Django', 'Flask', 'Tornado', 'Numpy', 'Scrapy', 'MySQL', 'Oracle', 'Redis', 'MongoDB', 'HBase']","['交通补助', '免费班车', '股票期权', '员工旅游', '团建聚餐', '五险一金', '补充医疗保险', '法定节假日三薪', '带薪年假', '节日福利', '加班补助', '定期体检', '绩效奖金', '意外险', '保底工资', '企业年金', '年终奖', '零食下午茶', '节假日加班费', '夜班补助']"
高级JAVA开发工程师,本科,5-10年,承影科技,重庆,渝北区,人和,"['Java', 'MySQL', 'Spring']","['节日福利', '五险一金', '交通补助', '团建聚餐', '加班补助', '年终奖', '生日福利', '餐补', '零食下午茶', '带薪年假', '员工旅游']"
高级python开发工程师,本科,1-3年,爱梦桐科技有限公司,重庆,沙坪坝区,三峡广场,"['数据开发', '机器学习/算法工程', 'Python', 'Golang', 'MySQL', '计算机相关专业', '服务端开发经验', '机器学习工程经验']",[]
智能体开发岗,本科,1-3年,利宝保险,重庆,渝中区,渝州路,"['Python', 'Pandas', 'MySQL']","['节日福利', '高温补贴', '带薪年假', '补充医疗保险', '零食下午茶', '定期体检', '法定节假日三薪', '团建聚餐', '通讯补贴', '绩效奖金', '年终奖', '底薪加提成', '五险一金']"
Python开发工程师,本科,经验不限,恩隆科技,重庆,渝北区,回兴,['Odoo开发'],"['有无线网', '年终奖', '绩效奖金', '通讯补贴', '交通补助', '五险一金', '团建聚餐', '带薪年假']"
python开发工程师,本科,3-5年,爱迪科森,重庆,沙坪坝区,美丽熙街,"['Python', 'Flask', 'Tornado', 'MySQL']","['员工旅游', '带薪年假', '交通补助', '餐补', '年终奖', '节日福利', '五险一金', '生日庆典', '股票期权', '全勤奖']"
Linux运维工程师,本科,3-5年,森鑫炬智慧,重庆,渝中区,解放碑,"['运维工程师', '网络运维', '运维监控', '自动化运维']","['带薪年假', '团建聚餐', '节日福利', '绩效奖金', '五险一金', '年终奖']"
Python开发工程师,本科,1-3年,途宝网络,重庆,江北区,观音桥,"['服务端开发经验', 'Django', 'MySQL', '后端', '计算机相关专业', 'Python']",[]
python高级开发工程师,学历不限,5-10年,托米科技,重庆,渝北区,龙溪,"['Python', 'Django', 'Flask', 'MySQL', 'Redis', '架构设计经验', '机器学习经验', '运维开发经验']","['五险一金', '年终奖', '带薪年假', '餐补']"
python开发,本科,3-5年,某大型计算机软件公司,重庆,,,"['Python', '运营商']","['交通补助', '生日福利', '节日福利', '有无线网', '团建聚餐', '法定节假日三薪', '意外险']"
Python（base成都）,本科,3-5年,鹏开信息,重庆,江北区,五里店,"['Python', 'Flask', 'Django', 'MySQL', 'Oracle']","['补充医疗保险', '交通补助', '五险一金', '员工旅游', '年终奖', '带薪年假', '节日福利', '零食下午茶', '加班补助', '定期体检']"
图像工程师,本科,经验不限,重庆广睿达,重庆,渝北区,光电园,['算法'],"['生日福利', '全勤奖', '带薪年假', '加班补助', '定期体检', '节日福利', '五险一金', '绩效奖金', '团建聚餐', '高温补贴', '工龄奖']"
python开发工程师,本科,3-5年,智雾网科技,重庆,渝中区,渝州路,"['爬虫经验', 'MySQL', '运维开发经验', 'Oracle', 'Linux开发/部署经验', 'Python']","['团建聚餐', '五险一金', '年终奖', '意外险', '零食下午茶', '补充医疗保险', '节日福利']"
python高级开发工程师,本科,1年以内,泛涵数码,重庆,南岸区,南坪,['Python'],"['不定期团建', '五险一金', '股票期权', '员工旅游', '零食下午茶', '节日福利']"
后端开发支撑服务,本科,3-5年,东信网络,重庆,渝北区,光电园,"['Java', 'Docker', 'MySQL', '运维开发经验', 'Python']","['年终奖', '定期体检', '五险一金']"
数据分析师,本科,1-3年,滴滴,重庆,渝北区,龙溪,"['经济/工商管理相关专业', '数据分析/挖掘经验', '计算机相关专业', 'SQL', '数学/统计相关专业']","['五险一金', '补充医疗保险', '定期体检']"
流程td,大专,5-10年,初晨动漫,重庆,渝中区,大坪,"['Python', 'C++', '架构设计经验']","['节日福利', '有无线网', '团建聚餐', '带薪年假', '五险一金']"
python开发工程师,本科,3-5年,重庆诺升企业管理...,重庆,江北区,观音桥,"['Python', 'TensorFlow', 'Django', 'Redis', 'MySQL']","['五险一金', '年终奖', '绩效奖金', '底薪加提成']"
python开发工程师,本科,3-5年,拾风趣游,重庆,渝北区,人和,"['git', 'MySQL', 'Python', 'Flask']",[]
少儿编程老师,本科,1-3年,启思AI编程学院,重庆,南岸区,南坪,"['小颗粒', 'python', 'c++', '可兼职']",[]
Ai数字产品开发工程师,本科,1年以内,重庆博特云信息技术,重庆,渝北区,龙溪,"['Python', 'Django', 'Selenium', 'MySQL', 'Redis', 'MongoDB']","['生日福利', '带薪年假', '定期体检', '五险一金']"
rpa开发工程师,本科,1-3年,snd,重庆,渝北区,回兴,"['Python', 'C++', 'Golang', 'Java', 'Django', 'MySQL', 'Linux开发/部署经验']","['五险一金', '带薪年假', '节日福利', '加班补助', '交通补助', '年终奖']"
高级PHP开发,本科,3-5年,尚学科技,重庆,江北区,观音桥,"['PHP', 'Python', 'MySQL/Redis/MongoDB', 'PHP开发经验', '计算机相关专业']",[]
后端开发工程师,本科,经验不限,华为,重庆,渝北区,龙溪,"['Java', 'C', 'C++', 'Python', 'SpringCloud', 'Spring', 'Redis', '云计算经验', '大数据经验', '不接受居家办公']","['保底工资', '团建聚餐', '夜班补助', '节日福利', '法定节假日三薪', '交通补助', '绩效奖金', '年终奖', '免费班车', '五险一金', '节假日加班费', '带薪年假', '加班补助', '员工旅游', '企业年金', '零食下午茶', '补充医疗保险', '股票期权', '定期体检', '意外险']"
资深研发工程师(Java/Go & Python/R),本科,5-10年,传音控股,重庆,渝北区,空港新城,"['Java', 'Golang', 'Python', 'Spring', 'MySQL', 'Redis', 'Hive', '架构设计经验', '分布式经验', '不接受居家办公']","['零食下午茶', '住房补贴', '补充医疗保险', '节日福利', '定期体检', '餐补', '交通补助', '年终奖', '通讯补贴', '免费班车', '员工旅游', '带薪年假', '五险一金']"
机器人、少儿编程、python、C++老师,本科,经验不限,奥尼格机器人,重庆,璧山区,红宇大道,"['编程', '少儿', '机器人', 'python', 'C++']",[]
SOC算法工程师,本科,经验不限,某大型机械设备/机电/重工上市公司,重庆,,,"['C++', '计算机相关专业', '机械设计制造相关专业', '嵌入式/单片机开发经验', '图像算法', 'SOC算法', '虚实融合', 'AR']","['五险一金', '年终奖', '免费班车', '通讯补贴', '定期体检', '零食下午茶', '带薪年假']"
应用服务器开发工程师,本科,3-5年,重庆赛博启元人工...,重庆,南岸区,南坪,"['Java', 'Golang', 'Python', 'Spring', 'JVM', 'Nginx', 'Docker', 'MySQL', 'Redis', 'MongoDB', '分布式经验', '微服务经验', '物联网经验']","['定期体检', '夜班补助', '底薪加提成', '五险一金', '保底工资', '加班补助', '绩效奖金', '工龄奖', '团建聚餐', '全勤奖', '带薪年假']"
mes开发,本科,,重庆吉佑数字科技,重庆,渝北区,空港新城,"['C#', 'Java', 'Python', 'Spring', 'SpringCloud', 'SQL Server', 'Redis', 'MES开发经验', '不接受居家办公']",[]
嵌入式开发工程师,本科,10年以上,华玮旭电子有限公司,重庆,涪陵区,李渡,"['C', 'RTOS', 'DSP开发', 'ARM开发', '机械设计制造相关专业', '电气电气/自动化相关专业', '嵌入式/单片机开发经验', 'CAN', 'UDS']","['宿舍有空调', '包住', '五险一金']"
AGI全栈研发工程师 （工业大模型平台）,本科,5-10年,吉利控股集团,重庆,渝北区,人和,"['Golang', 'Java', 'python', '全栈侧重后端', 'Vue', '深度学习', '大模型', '计算机相关专业', 'React', 'Angular', '全栈项目经验', 'tensorflow', 'JavaScript', 'pytorch']","['住房补贴', '带薪年假', '定期体检', '通讯补贴', '加班补助', '餐补', '五险一金', '包吃', '零食下午茶', '年终奖', '补充医疗保险', '股票期权', '节日福利', '交通补助', '免费班车', '员工旅游']"
人工智能讲师（大足大专院校）,本科,经验不限,重庆铭儒教育,重庆,,,"['发表算法相关优秀论文', '图像算法', '深度学习', '自然语言处理算法', '算法工程化经验', '参加算法相关竞赛/获奖', 'MATLAB', '数据挖掘', '大数据处理工具(Spark/Hadoop/Hive)', 'opencv视觉应用与开发，算法，机器学', 'Python']","['加班补助', '住房补贴', '交通补助', '年终奖', '带薪年假', '员工旅游', '餐补', '五险一金', '节日福利', '全勤奖']"
