职位,学历,经验,公司,"城市,",区域,商圈,技能列表,福利列表
通信技术工程师,本科,经验不限,西安华为,青岛,城阳区,上马,"['C++', '4G', '5G']","['有无线网', '节假日加班费', '股票期权', '补充医疗保险', '定期体检', '年终奖', '免费班车', '加班补助', '夜班补助', '节日福利', '法定节假日三薪', '带薪年假', '五险一金', '员工旅游']"
后端开发B类,本科,经验不限,中科院青岛能源所,青岛,崂山区,崂山风景区,"['Java', 'Python', 'Spring', 'SpringCloud', 'MySQL', 'PostgreSQL']","['有无线网', '带薪年假', '五险一金', '餐补', '生日福利', '定期体检', '包吃', '节日福利']"
软件工程师,本科,,钢铁侠科技,青岛,黄岛区,红石崖,"['C++', 'C', 'Python', 'QT']","['底薪加提成', '有无线网', '绩效奖金', '节日福利', '五险一金']"
运维工程师,本科,3-5年,中科星图,青岛,崂山区,崂山风景区,"['实施交付运维', 'Kubernetes', '计算机相关专业', '运维经验', '运维开发经验']","['五险一金', '定期体检', '节日福利', '年终奖', '带薪年假', '员工旅游', '餐补', '交通补助', '补充医疗保险', '住房补贴']"
3D视觉工程师,本科,5-10年,青岛联合智捷新能...,青岛,,,"['Python', 'C/C++', '机器学习', '大模型算法', 'SLAM算法']","['绩效奖金', '定期体检', '免费工装', '包吃', '包住', '住房补贴', '股票期权', '保底工资', '节日福利', '宿舍有空调', '团建聚餐', '年终奖', '交通补助', '带薪年假', '五险一金']"
AI应用开发工程师,本科,经验不限,印工社,青岛,城阳区,上马,"['PyTorch', 'Hadoop', 'Python']","['交通补助', '节日福利', '包吃', '五险一金', '免费班车', '零食下午茶', '加班补助', '团建聚餐', '有无线网', '工龄奖', '年终奖', '绩效奖金', '餐补', '带薪年假']"
中级java开发工程师,中专/中技,经验不限,映蓝科技,青岛,城阳区,流亭,"['Java', 'Python', 'Spring', 'Nginx', 'Docker', 'MySQL', 'SQL Server', '微服务经验', '架构设计经验', '接受居家办公']","['餐补', '股票期权', '年终奖', '五险一金', '补充医疗保险', '员工旅游', '带薪年假']"
中高级大数据开发工程师,本科,3-5年,广东国科城市大脑科技,青岛,李沧区,李村公园,"['Java', '要求数据开发经验', 'Spark原理/源码', '大数据引擎开发经验', 'MySQL/SQL Server', '非外包类', '其他', '计算机相关专业', '数据平台开发经验', '数据治理经验', '数据库内核开发经验', 'Presto', 'MySQL原理/源码', '其他数据开发经验', 'Spark', 'Python']","['生日福利', '节日福利', '团建聚餐', '带薪年假', '节假日加班费', '加班补助', '绩效奖金', '五险一金']"
高级安全服务工程师,大专,3-5年,安恒信息,青岛,市北区,CBD,"['计算机/信息安全相关专业', '渗透测试经验', '攻防对抗经验']","['餐补', '年终奖', '补充医疗保险', '定期体检', '零食下午茶', '员工旅游', '节日福利', '通讯补贴', '交通补助', '带薪年假', '五险一金']"
C＋＋软件开发工程师,本科,3-5年,中科超睿(青岛)...,青岛,李沧区,九水东路,"['Python', 'Windows']","['年终奖', '节日福利', '五险一金', '带薪年假', '股票期权', '生日福利', '零食下午茶']"
AI开发工程师,本科,3-5年,利东汽车销售有限公司,青岛,平度市,同和,"['大模型算法', 'C/C++', 'Python']",[]
高级软件自动化测试工程师,本科,5-10年,青岛海信日立空调...,青岛,黄岛区,辛安,"['自动化测试经验', 'Java', 'Shell', '计算机相关专业', '软件开发经验']","['加班补助', '节日福利', '住房补贴', '股票期权', '员工旅游', '年终奖', '交通补助', '带薪年假', '五险一金', '定期体检']"
高级IT工程师,本科,5-10年,某大型综合集团公司,青岛,,,"['企业内部IT技术支持', 'ERP/OA/CRM支持经验', '英文可沟通', 'AI', 'Python']","['五险一金', '全勤奖', '补充医疗保险', '加班补助', '股票期权', '定期体检', '年终奖']"
安全开发工程师,本科,1-3年,海尔COSMOPlat,青岛,崂山区,崂山风景区,"['运维开发', 'Python', 'Shell', 'Django', '计算机相关专业', '全栈开发经验']","['定期体检', '生日福利', '年终奖', '带薪年假', '餐补', '节日福利', '五险一金']"
智能体应用开发工程师,本科,3-5年,青铁数科院,青岛,市北区,河西,"['深度学习', '大模型算法', '强化学习', '自然语言处理算法', '数据挖掘', 'Python', '算法工程化经验']","['交通补助', '带薪年假', '加班补助', '餐补', '节日福利', '年终奖', '通讯补贴', '五险一金', '定期体检']"
