职位,学历,经验,技能列表,薪资,公司,公司人数,"城市,",区域
Python,大专,1年以内,"['Python', 'Scrapy', 'Numpy', 'PyTorch', 'MySQL', '其他', '爬虫经验']",300-600元/天,南京思睿房地产经纪,20-99人,南京,栖霞区
python开发,本科,3-5年,"['Django', 'MySQL', '架构设计经验', 'Python', 'Flask']",12-18K·13薪,南京瑞玥科技有限公司,100-499人,南京,鼓楼区
人工智能 python,大专,3-5年,"['Python', '团队管理经验', '有没有会人工智能 python的啊']",9-13K,翀之羽,20-99人,南京,浦口区
Python,本科,1-3年,"['Golang', 'Scrapy', '分布式经验', 'PostgreSQL', '机器学习经验', 'Redis', '爬虫经验', 'Elasticsearch', 'MySQL', 'Pandas', '运维开发经验', 'MongoDB', 'Selenium', 'Linux开发/部署经验', 'Flask', 'Python']",12-13K,兔酱,100-499人,南京,江宁区
人工智能Python后端开发工程师,本科,3-5年,"['Docker', 'Django', 'Pandas', 'MySQL', 'Redis', 'Numpy', 'Python', 'Flask']",14-16K,同创有云,20-99人,南京,鼓楼区
中级python开发工程师,本科,3-5年,"['爬虫', 'Linux', 'Django', 'MySQL', 'Python后端', '国产化适配', '大模型', 'Linux开发/部署经验', 'Python', 'Flask']",8-13K,开缘防务,0-20人,南京,栖霞区
Python开发（AI或者数字人）,本科,3-5年,"['Python', 'Docker', 'MySQL', 'MongoDB']",13-18K,江苏上古,100-499人,南京,江宁区
python开发工程师（自研）,本科,3-5年,"['Python', 'Scrapy', 'Selenium', 'MySQL', '爬虫经验']",10-12K,南京品德网络信息技术,20-99人,南京,雨花台区
金融量化编程师 Python Pine,学历不限,经验不限,"['Python', 'Java', 'C++', 'C', 'Pine', '麦语言']",60-150元/时,福州鼓楼瑞宽信息...,0-20人,南京,雨花台区
C端电商自动化测试（Python）,本科,5-10年,"['Python', '计算机相关专业', '自动化测试经验']",15-16K,诚迈科技,1000-9999人,南京,玄武区
后端开发实习生(Python/Go/Linux),本科,,"['Python', 'Docker']",200-280元/天,凯易讯,100-499人,南京,雨花台区
python开发工程师,本科,5-10年,"['Docker', 'Python']",15-20K,圣唯思,100-499人,南京,
Python,本科,1-3年,"['Java', '爬虫经验', 'MySQL', 'Reactor', 'Python']",7-9K·13薪,阅点点,20-99人,南京,鼓楼区
高级Python工程师,本科,3-5年,"['python语言', 'django', 'Tornado']",15-25K,云思创智,20-99人,南京,玄武区
高级Python（大数据模型）,本科,5-10年,"['Django', 'MySQL', 'RAG', '大模型', 'Python', 'Flask']",18-22K,上海海万信息科技,1000-9999人,南京,鼓楼区
Python,大专,1-3年,[],8-10K·13薪,南京相禾科技,0-20人,南京,江宁区
Python高级研发工程师（双休+五险一金）,本科,5-10年,"['Python', 'PyTorch', 'MySQL', 'Linux开发/部署经验', '架构设计经验']",16-17K,立维网,20-99人,南京,浦口区
AI 后端开发实习生 (Python 开发能力),本科,,"['Python', 'Flask', 'Django']",150-170元/天,博西家电,1000-9999人,南京,栖霞区
Python + 影刀 RPA 助力业务自动化工程师,本科,1-3年,"['Python', 'MySQL', '爬虫经验']",5-8K,南京斐梅,0-20人,南京,鼓楼区
Python Web 开发工程师（Flask/Vue方向）,本科,3-5年,"['Python', 'Flask', 'MySQL', 'Redis', 'PostgreSQL', '团队管理经验', 'Linux开发/部署经验', '架构设计经验']",16-20K,四维向量科技,20-99人,南京,雨花台区
python,本科,经验不限,"['Python', '量化交易开发经验']",27-50K,某大型基金公司,100-499人,南京,
对日高级软件开发工程师JAVA/C/Python,大专,3-5年,"['Python', 'Java', 'C++', 'C', 'C#', 'Django', 'MySQL', '团队管理经验', '日语沟通交流']",18-35K,睿亭信息咨询,20-99人,南京,江宁区
Python开发工程师,本科,3-5年,"['Java', 'SQL', '数据结构', '容器技术', 'Linux', 'Django', 'Tornado', 'GIT']",12-20K,唐恩,20-99人,南京,栖霞区
python算法（南京）XM202504140004-0001,本科,1-3年,"['Python', 'C++', 'C', 'PyTorch', 'MySQL', 'Oracle']",10-14K,北京朗杰,100-499人,南京,浦口区
Python开发工程师（大模型方向）,本科,3-5年,"['Python', 'PyTorch', 'Django', 'TensorFlow', 'MySQL', 'Redis', 'PostgreSQL', '大模型', 'LLaMA', 'LangChain']",14-15K,菲尔森,100-499人,南京,
Python开发工程师,本科,1-3年,"['Python', '分布式技术', '多进程', '消息队列', '网络编程', '多线程', '微服务架构']",12-24K,控维通信科技,100-499人,南京,江宁区
python开发,本科,3-5年,"['Elasticsearch', 'MySQL', 'Redis', 'Python']",13-14K,睿服科技,1000-9999人,南京,雨花台区
python开发工程师,本科,1-3年,"['Python', 'TensorFlow']",10-15K,上扬软件,100-499人,南京,江宁区
后端开发（Java/python）,本科,3-5年,"['Java', 'Python', 'SpringCloud', 'MySQL', 'PostgreSQL', '不接受居家办公']",12-13K·13薪,瑞友数字,100-499人,南京,江宁区
python爬虫工程师,本科,5-10年,['爬虫'],17-22K,索帕新能源,500-999人,南京,雨花台区
Python,本科,1-3年,"['Python', 'Java', 'C++']",6-8K,南京景盛网络文化传媒,0-20人,南京,
云平台Java+Python-外包-统招学信网,本科,5-10年,"['Java', 'Python', 'SpringCloud', 'Docker', 'MySQL', 'PostgreSQL', '云计算经验', '不接受居家办公', 'Spring Boot']",17-18K,伟仕佳杰,1000-9999人,南京,鼓楼区
python开发工程师,本科,3-5年,"['自然语言处理算法', '数据挖掘', 'Python']",12-24K,美辛软件,20-99人,南京,
软件开发（python/JAVA/C/C++/JS,本科,1-3年,"['Java', 'Python', 'C', 'Spring', 'MySQL']",13-26K,上海华为技术有限公司,10000人以上,南京,雨花台区
