职位,学历,经验,技能列表,薪资,公司,公司人数,"城市,",区域
小程序后端开发工程师,大专,3-5年,"['Java', 'C', 'C++', 'Python', 'Spring', 'SQL Server']",8-13K,代颜网文化传媒,20-99人,苏州,虎丘区
Python开发工程师,本科,5-10年,"['Python', 'Django', 'Flask']",25-40K·14薪,易来科得,0-20人,苏州,相城区
Rust/Python 工程师（AI Infra方向）,本科,经验不限,"['C++', 'PyTorch', 'Django', 'PostgreSQL', 'Python', 'Flask']",20-40K·15薪,某大数据公司,20-99人,苏州,
高级python开发工程师,本科,5-10年,"['其他', 'Python', 'TensorFlow']",20-35K,蓝翼智能,20-99人,苏州,苏州工业园区
Python,硕士,5-10年,"['C/C++', 'Python', '人脸识别']",15-20K,品祺电子,20-99人,苏州,
Python开发工程师,本科,3-5年,"['微服务架构', '容器技术', '数据结构', 'Django', 'GIT']",12-20K,泽创天成,20-99人,苏州,苏州工业园区
匿名公司招聘仿真工程师,本科,3-5年,"['MuJoCo', 'Isaac Sim', 'python', 'C++', 'ROS/ROS2']",25-40K·14薪,某小型机器人及智能制造技术公司,0-20人,苏州,
开发工程师（需求真实，HC多）,本科,经验不限,"['Golang', 'Java', 'C++', 'Scrapy', 'C', 'Redis', 'HBase', 'Django', 'Pandas', 'MySQL', 'Tornado', 'MongoDB', 'Oracle', 'Python', 'Flask']",20-28K,某大型计算机软件公司,10000人以上,苏州,
python开发工程师,本科,3-5年,"['Python', 'Django', 'Flask', 'MySQL']",13-16K·13薪,凯捷,10000人以上,苏州,
初级生信工程师,硕士,经验不限,"['python', 'R', 'shell', '生信', '遗传']",12-17K·13薪,赛福基因,100-499人,苏州,相城区
软件研发工程师,本科,5-10年,"['C++', 'C', 'QT', 'MFC']",15-30K,大连纳思达,100-499人,苏州,
软件工程师 （MES软件开发方向）,本科,5-10年,"['Java', 'C++', 'Python', '不接受居家办公', 'MES开发经验']",12-20K,营口金辰机械,1000-9999人,苏州,吴中区
python高级开发工程师,本科,5-10年,"['团队管理经验', 'Django', 'MySQL', '运维开发经验', 'Redis', '架构设计经验', 'Linux开发/部署经验', 'Python', 'Flask']",15-30K,黔潮,20-99人,苏州,吴中区
qt软件开发工程师,本科,1-3年,"['爬虫', '爬虫经验', '计算机相关专业', 'Python']",11-20K,苏州锐讯,20-99人,苏州,苏州工业园区
AIGC人工智能工程师,本科,经验不限,"['机器学习/算法工程', 'Python', '计算机相关专业']",15-20K,苏州太赫光学科技,0-20人,苏州,苏州工业园区
测试工具开发工程师,本科,3-5年,"['Python', 'C', 'Django', 'Selenium', 'PyTorch', 'MySQL', '团队管理经验', '架构设计经验', '运维开发经验']",15-30K,中科曙光,1000-9999人,苏州,昆山市
DFT 工程师,本科,5-10年,"['SCAN', 'MBIST', 'python']",25-50K·14薪,苏州宽温电子科技,100-499人,苏州,苏州工业园区
交付工程师,本科,经验不限,"['Python', 'C', 'C#']",6-10K·13薪,悦谱,20-99人,苏州,苏州工业园区
AI智能体开发工程师,本科,经验不限,"['MySQL', '运维开发经验', 'Tornado', '架构设计经验', 'Linux开发/部署经验', 'Python']",8-13K,大我网络,0-20人,苏州,相城区
Python少儿编程老师,本科,经验不限,['乐高，python，c++'],4-8K,张家港市杨舍镇前...,0-20人,苏州,张家港市
FAE工程师,本科,5-10年,"['python', 'Linux', '自动化', '仓储设备', 'EMS', 'FAE', '电子EMS']",6-9K,SWISSMIC 瑞微智能,20-99人,苏州,吴中区
传感器测试开发工程师,本科,1-3年,"['matlab', 'C++', 'python', '传感器测试', '软件测试', '测试开发']",6-10K,创视智能,100-499人,苏州,吴中区
科学计算开发工程师,硕士,在校/应届,"['Julia', '爬虫经验', '分布式经验', '科学计算', 'Python']",12-20K·15薪,同元软控,500-999人,苏州,
开发岗（偏后端）,本科,3-5年,"['Java', 'C', 'C++', 'Python', 'Spring', 'MySQL']",19-21K,某大型保险服务央企公司,10000人以上,苏州,
高级移动端算法优化工程师,本科,5-10年,"['高性能算法', '算法优化', 'CPU', 'DSP', 'GPU', 'NEON', 'C/C++', 'python']",45-60K·16薪,北京某中型移动互联网公司,100-499人,苏州,
C++开发工程师,本科,1-3年,"['python', 'C++', 'QT', '遥感']",8-12K,中城泰信,20-99人,苏州,苏州工业园区
大模型Agent开发工程师,本科,3-5年,"['Python', 'PyTorch', 'TensorFlow', 'Redis', '架构设计经验', 'Agent']",15-30K,思必驰科技股份有...,500-999人,苏州,苏州工业园区
少儿编程,本科,1-3年,"['scratch', 'python', 'c++', 'kitten', '电子信息', '计算机编程', '软件开发', '自动化']",4000-5000元/月,高博托管,0-20人,苏州,昆山市
资深python开发工程师,本科,5-10年,"['Golang', '多模态', 'MySQL', 'dify', 'agent落地', '架构设计经验', 'Python', 'Flask']",20-30K·16薪,同程旅行,1000-9999人,苏州,苏州工业园区
数据产品经理,本科,1-3年,"['数据产品', 'SQL', '数据分析', 'python', '金融']",12-24K·14薪,智慧芽,1000-9999人,苏州,苏州工业园区
RPA 工程师,本科,1-3年,"['RPA', 'uipath']",11-20K·13薪,睿能科技,20-99人,苏州,苏州工业园区
软件开发工程师,本科,3-5年,"['Python', 'C++', 'Java', '英语流利']",15-30K·15薪,某大型智能硬件公司,10000人以上,苏州,
c++工程师,本科,5-10年,"['C++', 'Python', '架构设计经验', '嵌入式软件经验', 'C++开发经验不低于5年']",15-20K,科境智能,0-20人,苏州,相城区
AI 算法工程师,本科,3-5年,"['python', '遥感影像', '图像算法', '深度学习', '大模型算法', '算法工程化经验', 'AI', 'GDAL', 'C/C++', '机器学习', 'OpenCV', '模型加速/性能优化', 'Python']",12-20K,中科天启,100-499人,苏州,虎丘区
中级java开发工程师,本科,5-10年,"['Java', 'C++', '不接受居家办公', 'MySQL', 'Netty', 'Redis', 'MongoDB', 'Spring']",15-25K·14薪,边驰技术,0-20人,苏州,相城区
大数据软件开发工程师,本科,3-5年,"['python', '后端开发', '全栈开发', 'PHP', '多线程', '微服务架构', 'Spring', 'WEB开发']",18-30K·16薪,三一重机有限公司,10000人以上,苏州,昆山市
软件开发工程师（Python）,本科,经验不限,"['Python', 'linux', '熟悉主流网络协议']",13-20K·14薪,华为技术有限公司,10000人以上,苏州,
机器人编程老师,本科,1-3年,"['销售经验', 'python', '集体授课', '小班教学（3-25人）', '线下教育', 'scratch', '小学教育', '线下授课', '全职', '儿童编程', '教育学专业背景', 'arduino', '理工科教育背景', '学前儿童/小学生']",6-8K,半橙创造力空间,0-20人,苏州,苏州工业园区
软件开发工程师（14薪）,本科,1-3年,"['Java', 'C++', 'Golang', 'Python', 'SpringCloud', 'MySQL', 'Redis', '分布式经验', '云计算经验', '不接受居家办公']",15-30K·14薪,咏鹭科技,100-499人,苏州,
声学仿真工程师,本科,在校/应届,"['声学仿真', '声学测试', 'Comsol', 'MATLAB', 'python', 'soundcheck']",13-25K·13薪,地球山,100-499人,苏州,常熟市
智能汽车测评技术专家,博士,3-5年,"['L2/L3智能驾驶功能开发经验', 'C/C++', 'CNN/RNN/LSTM', 'python', '熟悉ISO26262标准']",20-30K,中汽院智能网联科技,100-499人,苏州,
软件平台工程师,本科,5-10年,"['Python', 'Golang', 'Java']",15-30K·15薪,Seyond图达通,500-999人,苏州,相城区
图像算法调试工程师,本科,1-3年,"['C++', 'STL']",11-15K·13薪,富鑫林光电,100-499人,苏州,
算法工程师,本科,3-5年,"['PyTorch', 'LSTM', 'Transformer', 'Python']",18-19K,上海微恺信息技术,20-99人,苏州,
Blender 高级开发工程师   五险一金,本科,3-5年,"['Python', 'Django', 'Linux开发/部署经验']",15-30K,昆山巨星行动电子...,100-499人,苏州,昆山市
工业物联网软件开发,大专,1-3年,"['数据开发', '计算机相关专业', 'Python']",8-12K·13薪,库德莱兹物联科技,0-20人,苏州,苏州工业园区
高级平台开发工程师,本科,3-5年,"['Go', '分布式技术', '容器技术', '微服务架构', 'Linux', 'NoSQL']",15-25K,迈科网络,100-499人,苏州,相城区
java开发工程师,本科,3-5年,"['Java', '不接受居家办公', 'SpringCloud', 'MySQL', 'MyBatis', 'Redis', 'Spring']",9-14K,东华软件科技有限公司,20-99人,苏州,昆山市
软件工程师（C）,本科,1-3年,"['Python', 'Linux', '软件工程师']",8-12K·13薪,苏州奇梦者科技,20-99人,苏州,苏州工业园区
平台开发,本科,3-5年,"['Python', 'C++', 'C']",18-35K·15薪,昆高新芯,100-499人,苏州,昆山市
双休运维工程师,大专,1-3年,"['网络运维', '计算机相关专业']",8-10K,海江信息科技有限公司,1000-9999人,南通,
Python老师,学历不限,经验不限,"['爬虫经验', '机器学习经验', 'Python']",8-10K,南通芮星教育,20-99人,南通,崇川区
人工智能实习生,硕士,经验不限,"['机器学习', '大模型算法', '图像算法', '自然语言处理算法', '推荐算法', '搜索算法', '模型加速/性能优化', 'Python']",5-8K,成天软件,20-99人,南通,崇川区
Python开发实习生,大专,,"['Docker', 'Django', 'PostgreSQL', 'MySQL', 'Linux开发/部署经验', 'Python']",80-150元/天,盒木科技,0-20人,南通,崇川区
兼职Python讲师 海安线下,大专,3-5年,['Python'],60-65元/时,上元教育,1000-9999人,南通,海安市
计算机编程教师,本科,1-3年,"['C++', 'Python']",50-200元/时,思创科技培训中心,0-20人,南通,崇川区
python,本科,3-5年,"['Python', 'Django', 'MySQL', 'Linux开发/部署经验', '分布式经验', '架构设计经验', '数据分析']",9-14K,篆言信息科技,20-99人,南通,崇川区
python后端开发,本科,3-5年,"['Django', 'MySQL', 'Redis', '软件工程', '985/211院校', 'Python', 'Flask', '计算机']",10-15K,星商创新,1000-9999人,南通,崇川区
Python,本科,10年以上,[],17-18K,南通高新技术产业...,0-20人,南通,海门区
python老师,大专,经验不限,"['Python', 'Java', 'C++', 'Django', 'MySQL', '团队管理经验']",4-8K,恩欣文化传媒有限公司,0-20人,南通,
C++/C#/Python程序员,本科,1-3年,"['C/C++', 'C#', 'Python']",6-11K,福友科技,0-20人,南通,崇川区
周末双休 网络安全 人寿正编,本科,1-3年,"['安全运维和保障', '安全架构搭建经验', '渗透测试经验', '攻防对抗经验']",20-21K,某知名互联网金融上市公司,1000-9999人,南通,
Python 全栈开发,本科,1-3年,[],6-9K,江苏谷玄科技有限公司,0-20人,南通,
青少儿编程教师,本科,经验不限,"['计算机', '编程教师', '小班授课']",7-12K,南通新东方教育咨询,1000-9999人,南通,
渗透测试工程师,学历不限,1-3年,"['漏洞挖掘', '代码审计', '信息安全', '内网渗透', '红队攻击', '渗透测试', 'web安全', '网络安全']",20-21K·14薪,暗泉信息,20-99人,南通,崇川区
数据支持专员,本科,1-3年,[],8-11K,携程集团,10000人以上,南通,崇川区
渗透测试,大专,3-5年,"['SqlMap', '通信相关专业', '漏洞挖掘', '渗透测试经验', '代码审计', '渗透测试', '攻防对抗经验', 'Nmap', '逆向分析', 'BurpSuite', '内网渗透']",10-15K·14薪,濠云网络,20-99人,南通,崇川区
算法工程师,硕士,在校/应届,"['机器学习', '运筹优化算法', '深度学习', 'Python']",13-25K·14薪,元始智能科技,20-99人,南通,崇川区
Python开发工程师,本科,1-3年,"['运维开发', 'Python']",8-10K,江苏浪新,20-99人,南通,崇川区
兼职设计师 Matlab/python,学历不限,经验不限,"['MATLAB', 'Python']",60-100元/时,南通闪优电子科技,0-20人,南通,海门区
PHP开发工程师（可实习）,本科,,"['php工程师', '程序员', 'php软件开发工程师', 'php开发程序员', 'PHP', '软件工程师']",100-150元/天,鑫云软件,20-99人,南通,
数字化工程师,本科,3-5年,"['Java', 'Python', '爬虫经验', '有后端经验']",8-12K,中天宽带,1000-9999人,南通,
计算机老师,大专,1-3年,"['计算机', 'IT']",3-8K,胡椒丁科技,20-99人,南通,崇川区
渗透测试工程师,大专,1-3年,"['渗透', '渗透测试', '漏洞', '网络安全', '信息安全']",10-15K·13薪,江苏正信信息安全测试,100-499人,南通,
网络安全 周末双休,本科,3-5年,"['安全运维和保障', '安全体系架构和研发', 'Python', 'Java', 'PHP', 'C/C++', 'MySQL', '安全架构搭建经验', '计算机/信息安全相关专业']",15-18K,湖北科之锐教育科技,20-99人,南通,
Python,本科,1-3年,"['Python', 'Nginx', 'PyTorch', 'Oracle', 'PostgreSQL', '其他']",250-300元/天,苏州上元经纬培训,500-999人,南通,如皋市
少儿编程教师,本科,经验不限,"['机器人', '教师', 'STEAM', '信息学', '线下授课', '集体授课', 'C语言培训', 'IT培训']",5-10K,至上培新,20-99人,南通,通州区
投资专员,硕士,经验不限,[],20-25K,某知名原材料及加工公司,1000-9999人,南通,
信息化工程师,本科,3-5年,[],9-12K,中天科技海缆,1000-9999人,南通,崇川区
Python老师,本科,1-3年,"['Python', 'C++', 'JavaScript', '教师', '人工智能', '机器人']",7-12K,海安hellocode,20-99人,南通,海安市
编程老师,本科,经验不限,"['销售经验', '全职兼职均可', '坐班', '理工科教育背景', '小班教学（3-25人）', '线下教育', '学前儿童/小学生']",4-9K,K星联盟,0-20人,南通,启东市
（华为）南通软件开发（RMB多多）,本科,经验不限,"['Python', '软件工程师', 'Java', 'C', 'C++']",15-30K·16薪,华为,10000人以上,南通,如皋市
java、python双方向讲师,本科,3-5年,"['JavaSE培训', 'JavaScript培训', 'python']",8-13K·13薪,中软国际教育,500-999人,南通,如皋市
整车故障分析工程师,本科,5-10年,"['英语良好', '适应出差', 'CANoe/CANalyser']",15-25K,MBtech,100-499人,南通,如皋市
视觉算法专家,硕士,经验不限,"['C/C++', '3D点云处理算法', '机器学习', '焊接', '深度学习', '图像处理库（OpenCV等）', '图像生成', '目标跟踪', '三维重建', 'Python', '焊缝跟踪']",40-50K,某计算机软件公司,20-99人,南通,
青少儿编程教师,本科,经验不限,"['python', 'c++']",8-12K,新东方,10000人以上,南通,
渗透测试工程师,大专,1-3年,"['Python', '渗透测试经验']",8-11K,江苏越隆,0-20人,南通,
初级python工程师,本科,1-3年,"['Scrapy', 'Spark', '微服务经验', '运维开发经验', '量化交易开发经验']",2-3K,上海宸花机械设备,0-20人,南通,启东市
少儿编程老师,本科,1-3年,['编程教育'],5-8K,创酷培训学校,20-99人,南通,崇川区
软件开发（java、python、前端等）可零基础,本科,经验不限,"['Java', 'C', 'C++', 'Python', 'C#', '不接受居家办公']",15-30K·15薪,杭州华为企业通信技术,1000-9999人,南通,
Python 算法工程师,本科,1-3年,"['Python', 'PyTorch', 'TensorFlow', 'MySQL', 'Redis', '爬虫经验', '机器学习经验']",16-30K,智才软件,0-20人,南通,崇川区
数字信息工程师,本科,1-3年,['计算机相关专业'],10-15K,南通瑞翔,1000-9999人,南通,崇川区
影像软件工程师,本科,经验不限,"['C++服务端开发经验', 'C++', 'C语言', 'Python']",6-11K,南通爱科瑞新技术,0-20人,南通,崇川区
实习生（软件开发）,本科,,"['C++', 'Python', 'OpenGL', '上位机开发经验', 'Linux开发/部署经验']",80-120元/天,北大长三角光电院,20-99人,南通,
linux运维工程师,大专,1-3年,"['网络运维', '系统运维', 'DBA', 'Python/Shell', 'MySQL/Oracle', '计算机相关专业']",5-6K,创玩领域,0-20人,南通,崇川区
渗透测试工程师,本科,1-3年,[],8-11K,南通几禾,0-20人,南通,通州区
后端开发工程师,本科,1-3年,"['Java', 'Go', '数据结构', 'GIT', 'MySQL', 'Redis']",8-12K,齐享购,20-99人,南通,崇川区
python研发工程师,本科,在校/应届,"['Python', 'PyTorch', '熟悉ComfyUI']",3-5K,图一科技,0-20人,南通,
少儿编程老师,本科,经验不限,"['python', 'C++']",5-10K·13薪,吉姆教育培训中心,20-99人,南通,海安市
java高级软件开发工程师,本科,1-3年,"['Java', 'JavaScript', 'MySQL', 'Java开发经验', '计算机/软件工程相关经验', '大数据处理经验', '接受居家办公', '日语']",15-30K·14薪,南通润东,100-499人,南通,崇川区
Python,大专,3-5年,"['爬虫', '爬虫经验', '后端', '计算机相关专业', 'Python']",15-20K,亨特网络,0-20人,南通,海门区
IT工程师（MES/ERP方向）,大专,5-10年,"['ERP/OA/CRM实施维护经验', '计算机/网络系统工程师', 'OMS/WMS/TMS实施维护经验']",6-8K,维业达南通,100-499人,南通,崇川区
机器人老师,本科,1-3年,"['接受实习/在校生投递', '坐班', '中学生', '熟练掌握计算机语言', '理工科教育背景', '小班教学（3-25人）', '线下教育', '课程/课件研发', '学前儿童/小学生', '全职']",4-9K,格方乐融,20-99人,南通,
c++软件开发工程师,本科,3-5年,"['C++', 'C', 'Python', 'QT', 'Linux开发/部署经验', '嵌入式软件经验', '上位机开发经验', 'python', 'CMake', 'svn']",18-25K,某电子公司,20-99人,南通,
对日 软件开发工程师,大专,5-10年,"['Java', '不接受居家办公', '微服务经验', 'MySQL', 'Spring']",17-25K,大连睿亭,0-20人,南通,
python开发工程师,本科,3-5年,"['Python', 'C++', 'C#', 'windows开发']",13-16K·13薪,百林科,500-999人,南通,如皋市
风控策略分析师,本科,3-5年,"['SQL', 'Python', '金融行业数据相关经验']",20-25K,冰草,20-99人,南通,崇川区
Python开发工程师,本科,3-5年,['python'],10-15K·13薪,海赛,20-99人,南通,海门区
少儿Python老师,大专,经验不限,"['Java', '接受实习/在校生投递', '编程 计算机', '机器学习经验', '云计算经验', 'Python']",4-8K,南通腾骉文化传媒,0-20人,南通,
python讲师,大专,经验不限,"['Python', 'C/C++', '计算机相关专业']",4-8K,乐其优倍,20-99人,南通,
软件开发管培生（26届）,本科,,"['Java', 'C', 'C#', 'Spring', 'MySQL', 'Oracle']",300-500元/天,凌志软件,100-499人,南通,如皋市
ai软件开发工程师,本科,3-5年,[],15-25K,某大型服装公司,500-999人,南通,
实习生,本科,,['量化研究'],150-200元/天,海南演绎美好私募...,0-20人,南通,崇川区
数据分析师,学历不限,经验不限,"['SQL', 'Python', 'Excel']",15-25K,南通三翔信息科技...,20-99人,南通,如东县
信息奥赛老师 计算机老师,本科,经验不限,"['信息奥赛', 'c++', '少儿兴趣班', 'NOIP课程教学经验', 'C语言', '计算机相关专业', '考核测评', 'C++项目开发经验', '辅导答疑', '线下教学', '院校专业课', '日常教学', 'Python']",8-13K·13薪,尔堂文化传媒,20-99人,南通,海安市
人工智能算法工程师,本科,1-3年,"['深度学习', '机器学习', '大模型算法', '强化学习', '运筹优化算法', '多模态算法', '模型加速/性能优化', 'C/C++', 'Python', '大数据处理框架(Spark/Hadoop/Hive)', '算法工程化经验']",10-15K·13薪,小猿教育,100-499人,南通,如皋市
高级安卓程序员,本科,3-5年,"['Java', 'Android开发经验', '架构设计/优化', 'Android客户端产品研发', '研发流程优化']",12-18K·13薪,创斯达科技,100-499人,南通,
运维交付工程师,大专,1-3年,"['实施交付运维', '系统运维', 'Java', 'Python/Shell']",7-8K,德科信息有限公司,1000-9999人,南通,
大模型数据工程师（上海）,硕士,经验不限,"['搜索算法', '分布式训练', '深度学习', '大模型算法', '自然语言处理算法', '多模态算法', '大数据处理框架(Spark/Hadoop/Hive)', '并行计算', '推荐算法', 'C/C++', '机器学习', '强化学习', '模型加速/性能优化', 'Python']",30-50K·15薪,凌志软件,1000-9999人,南通,如皋市
少儿编程老师,本科,1-3年,['编程 竞赛 考级'],5-8K,南通初阳教育咨询...,0-20人,南通,崇川区
软件开发实习生,本科,,"['Java', '不接受居家办公', 'MySQL', 'PHP', 'Spring', 'Python']",80-100元/天,牛小派科技,20-99人,南通,如皋市
测试开发工程师,本科,3-5年,"['测试工程师', '自动化测试', '接口测试', '性能测试', '测试开发', 'web端测试', '黑盒测试', '功能测试']",12-24K·14薪,京东科技集团,1000-9999人,南通,崇川区
少儿编程老师（双休）,本科,3-5年,"['少儿编程', '编程', 'pyhton', 'C++']",5-10K,码高教育,0-20人,南通,崇川区
乐高机器人老师,大专,1-3年,"['线下教育', '坐班', '小班教学（3-25人）', '学前儿童/小学生', '全职']",4-8K,赛若,0-20人,南通,崇川区
算法工程师/python,本科,3-5年,"['Python', 'C++', 'Java', 'nosql', 'Git', '消费电子']",15-25K,某大型知名智能硬件上市公司,10000人以上,南通,
对日软件开发工程师,大专,经验不限,"['Java', 'C#', 'MySQL', 'Redis', 'Oracle', 'SQL Server', '不接受居家办公', 'Spring', 'SpringCloud', 'MyBatis', '日语']",15-20K·13薪,纽康数研,100-499人,南通,崇川区
数据要素专家,硕士,5-10年,[],30-60K,某大型互联网公司,100-499人,南通,
游戏服务器PHP开发工程师,本科,1-3年,"['PHP', 'MySQL/Redis/MongoDB', '计算机相关专业', 'PHP开发经验', '游戏', '服务器']",8-12K,达趣,20-99人,南通,
AI软件开发工程师,本科,3-5年,"['Python', 'C#', 'C++', 'PyTorch', 'MySQL', '团队管理经验', '架构设计经验', '机器学习经验']",10-15K,JACKBEANIE,500-999人,南通,
AI工程师（软件工程师）,本科,1-3年,"['PyTorch', '架构设计经验', 'Python']",7-12K·13薪,展华电子,1000-9999人,南通,
爬虫工程师,本科,1-3年,"['python', '反爬']",6-9K,淘金合创,100-499人,南通,崇川区
计算机视觉和图像处理工程师,硕士,3-5年,"['深度学习', '机器学习', '大模型算法', '图像生成', 'SLAM算法', '图像搜索', 'C/C++', 'Python', '图像处理库（OpenCV等）', '团队管理经验', '参加算法相关竞赛/获奖', '优秀开源项目经历', '热爱运动、持续学习']",15-20K,腾特体育,20-99人,南通,崇川区
全栈工程师,本科,经验不限,"['Java', '.NET', 'Golang', '全栈项目经验', '后端开发经验']",10-15K,南通景语网络科技,0-20人,南通,海安市
开发人员-日本工作方向,大专,1-3年,"['Java', '不接受居家办公', 'C', '日本工作方向', 'SpringCloud', 'MySQL', 'MyBatis', '架构设计经验', 'Spring']",16-25K,南通苏慧,20-99人,南通,崇川区
软件开发实习生,本科,,"['Golang', '提供实习证明', 'Java', 'CSS', 'Go', 'HTML', '计算机相关专业', 'Gin', '英语读写能力良好', '接受实习/在校生投递', '提供转正机会', 'JavaScript', 'Golang服务端开发经验', 'Python']",80-150元/天,塔扬,20-99人,南通,崇川区
it,学历不限,经验不限,['企业内部IT技术支持'],5-10K,江苏大亘海洋科技,20-99人,南通,
AI软件开发工程师,本科,1-3年,['Python'],5-10K,南通恒欧文化传媒,0-20人,南通,
视觉工程师,本科,3-5年,"['机器学习', '图像处理库（OpenCV等）', '图像生成']",10-15K,中天智能装备,100-499人,南通,崇川区
服务器开发工程师,本科,1-3年,"['Java', '数据库开发经验', '游戏引擎', 'OpenGL', 'STL', '软件工程师', '网络协议', '网络编程', 'MySQL', 'JavaScript', 'PHP', 'Lua', '架构设计经验', '游戏后端经验', '后端开发', '游戏开发', 'Python']",11-20K,不沉默软件开发,0-20人,南通,
软件开发,本科,1-3年,"['Python', 'Django', 'Flask', 'MySQL', 'Redis']",9-10K·13薪,逸米电商,0-20人,南通,崇川区
前端开发工程师,大专,3-5年,[],8-10K,南通环宇网络科技,0-20人,南通,海安市
实施顾问,本科,经验不限,"['ERP', '计算机相关专业', '财务相关专业', '软件实施经验', '熟练掌握SQL语句', '可适应出差', 'python']",5-8K,江苏浪潮,20-99人,南通,
web前端,大专,经验不限,['前端开发'],4-7K,乐塔克教育,0-20人,南通,如皋市
资深全栈工程师,本科,5-10年,[],8-13K,码能软件,0-20人,南通,海安市
c++工程师,本科,5-10年,"['C#', 'C++', '嵌入式软件经验', 'Python']",10-15K·13薪,南通斯密特森光电科技,100-499人,南通,如皋市
Linux运维工程师,大专,1-3年,"['运维工程师', 'Shell', 'Python']",4-7K,帝联网络,100-499人,南通,崇川区
智算工程师（实习）,硕士,,"['C/C++', 'Java', '搜索算法', '接受实习/在校生投递', '机器学习', '运筹优化算法', '图像算法', '深度学习', '大模型算法', '算法工程化经验', '推荐算法', 'Python']",100-150元/天,京源环保,100-499人,南通,崇川区
电气项目工程师,本科,经验不限,[],4-6K,北京明祈科技有限公司,0-20人,南通,如皋市
全栈开发工程师,本科,3-5年,['Java'],9-14K,南通艺影安防技术,0-20人,南通,
全栈工程师,大专,3-5年,[],10-15K,上海猫小鼬信息科技,20-99人,南通,
急招！系统测试员/月薪1W+,大专,3-5年,"['Java', 'Python', '周末双休']",8-13K,南通欣云金信息科技,20-99人,南通,
软件工程师,大专,3-5年,"['机器学习工程经验', 'Golang', 'Pyspider', 'Go', 'Redis', '软件工程师', '后端', 'SQL Server', 'Linux', '服务端开发经验', '机器学习/算法工程', '算法基础', 'MySQL', 'Python']",8-12K,祐云信息,20-99人,南通,
AI软件开发工程师,本科,经验不限,"['AI', 'Azure AI', 'AI 应用']",15-25K,某大型已上市公司,10000人以上,南通,
机器人教师,本科,经验不限,"['线下教育', '坐班', '小班教学（3-25人）', '学前儿童/小学生', '熟练掌握计算机语言', '理工科教育背景', '课程/课件研发', '销售经验', '全职']",5-6K,南通乐宝,20-99人,南通,崇川区
投标分析师,大专,3-5年,"['SQL', 'Python', 'Power BI', 'SAS', '数学/统计相关专业', '计算机相关专业', '数据分析/挖掘经验', '机器学习建模经验', '数据分析', '大模型', '数据挖掘']",7-12K,汇巨市政,20-99人,南通,崇川区
智能计划专员(J14986),本科,1-3年,"['大模型算法', '强化学习', '运筹优化算法', 'C/C++', 'Python', 'Java', '生产运筹学']",10-15K·13薪,深南电路,10000人以上,南通,
运维工程师,大专,3-5年,"['Elasticsearch', 'Linux', '系统运维', 'MySQL', '服务器配置', 'Python/Shell', 'Windows', 'SQL Server']",8-13K·13薪,九头牛科技,20-99人,南通,海安市
大数据爬虫工程师,本科,3-5年,[],15-25K,某江苏地区中型互联网服务公司,500-999人,南通,
Python,硕士,3-5年,"['Python', 'Flask', 'Docker', 'MongoDB', 'MySQL', '爬虫经验']",15-20K,赫居设计,20-99人,南通,
后端开发,本科,1-3年,[],20-21K,某大型保险上市公司,1000-9999人,南通,
Java后端工程师,本科,1-3年,['后端工程师'],8-13K,品亨进出口,0-20人,南通,崇川区
运维开发工程师,大专,1-3年,"['Python', '自动化运维', 'K8S', 'Docker', 'Jenkins', 'CI/CD', 'CDN']",8-11K,比目鱼数字科技,100-499人,南通,崇川区
IT技术支持,大专,1-3年,"['企业内部IT技术支持', 'ERP/OA/CRM支持经验']",12-15K·13薪,伟信博源,0-20人,南通,
三维GIS应用工程师,硕士,经验不限,"['地理信息/测绘工程相关专业', 'QGIS', 'MapGIS', 'Python']",6-11K,南通测绘院,100-499人,南通,崇川区
测试设备开发工程师,本科,1-3年,['LabView'],5-10K,江苏威尔曼,500-999人,南通,海安市
算法工程师,硕士,1-3年,"['C/C++', 'Java', '机器学习', '图像算法', '深度学习', 'Python']",20-40K,江苏银服智能装备,20-99人,南通,
深度学习算法工程师,本科,1-3年,"['深度学习算法', 'Python', 'TensorFlow', 'Caffe']",12-20K,维视科技,0-20人,南通,崇川区
少儿编程老师,本科,在校/应届,['少儿编程、计算机老师'],3-8K,好思优学科技培训,0-20人,南通,海门区
光纤传感研发工程师,本科,3-5年,['光纤传感器'],20-40K,某大型通信/网络设备上市公司,10000人以上,南通,
安卓开发工程师,本科,1-3年,"['Android SDK', 'java', 'Android UI', 'Java', 'AndroidStudio']",6-11K,畅言网络,0-20人,南通,崇川区
软件开发工程师,本科,3-5年,"['C#', 'MySQL']",7-12K,联格科技,0-20人,南通,崇川区
算法科学家,硕士,经验不限,"['深度学习', '图像算法', 'C/C++', 'Python', '算法工程化经验', '发表算法相关优秀论文']",30-50K,宇佑船舶,20-99人,南通,
AI应用开发工程师,本科,3-5年,"['C/C++', '深度学习', '大模型算法', '图像处理库（OpenCV等）', '其他', '人像算法', '优秀开源项目经历', 'Python', '模型加速/性能优化']",18-22K,微功夫,20-99人,南通,崇川区
软件开发实习生,本科,,['Python'],200-250元/天,福阳科技,0-20人,南通,海门区
后端开发工程师,本科,1-3年,"['Java', 'Spring', 'SpringCloud', 'Kafka', 'Tomcat', 'MySQL', '架构设计经验', '微服务经验', '分布式经验', '团队管理经验']",8-13K·13薪,智行未来,20-99人,南通,崇川区
