职位,学历,经验,技能列表,年薪,公司,公司规模,城市,区域
java开发工程师,大专,5-10年,"['Java', 'SpringCloud', 'MySQL', '保险、微服务、AI', 'MyBatis', 'Redis', 'RAG', 'Spring', '大模型、Dify']",102,赟驰科技,中大型企业,无锡,梁溪区
运维技术,本科,3-5年,"['计算机/通信相关专业', '可适应出差', '英语可沟通']",114,上海广宣,小型企业,无锡,滨湖区
前端开发工程师,本科,在校/应届,"['JavaScript', 'Vue']",270,求之科技,小型企业,无锡,滨湖区
Python,硕士,1-3年,"['爬虫经验', 'Docker', '其他', 'Selenium', 'Python']",150,棱镜工作室,微型企业,无锡,梁溪区
Python爬虫工程师,本科,1-3年,"['分布式技术', '网络爬虫技术', 'Python', '数据挖掘', '数据库开发']",126,优数互动,小型企业,无锡,滨湖区
Python,本科,3-5年,"['Python', 'Django', 'Flask', 'Tornado', 'PyTorch', 'MySQL', 'MongoDB', 'Hadoop']",114,企明星科技,小型企业,无锡,惠山区
python 少儿编程老师,本科,1-3年,['放弃无效 建立有效'],90,启佳教育学习馆,小型企业,无锡,江阴市
少儿编程机器人老师,本科,3-5年,"['scratch', 'python', '乐高', '编程', '机器人']",90,微思科技,微型企业,无锡,滨湖区
Python,本科,1-3年,"['Golang', 'Java', '爬虫经验', 'Django', 'MySQL', '运维开发经验', 'Linux开发/部署经验', 'Python']",72,梯梯物联科技,小型企业,无锡,惠山区
AI工程师（X0091）,本科,在校/应届,"['Python', 'PyTorch']",224,ATW,大型企业,无锡,新吴区
高级软件工程师 / 技术经理 / 软件架构师,本科,3-5年,"['Java', '数据结构', 'Python']",245,StorageX,小型企业,无锡,
Python工程师--无锡宜兴岗,大专,1-3年,"['Python', 'Pandas', 'Numpy', 'Scrapy', 'Selenium', 'Elasticsearch', 'MySQL']",114,北京小蜜蜂数智科技,中型企业,无锡,宜兴市
运维工程师,大专,1-3年,"['网络运维', 'Linux熟练', '系统运维', 'K8s', 'Python/Shell', 'Kubernetes']",133,上海量魁私募基金管理,小型企业,无锡,滨湖区
Python,本科,经验不限,"['MySQL', 'Linux', '容器技术', 'python', '分布式技术', '虚拟机技术', '消息队列']",224,华云数据,中大型企业,无锡,滨湖区
Python开发工程师,大专,经验不限,"['Python', 'Java', 'Nginx', 'MySQL', 'Oracle']",136,卡哇伊软件,小型企业,无锡,新吴区
软件工程师,本科,3-5年,"['C++', 'QT']",198,无锡九霄,小型企业,无锡,滨湖区
嵌入式软件工程师,本科,3-5年,"['C++', 'C', 'Linux', 'FreeRTOS', 'UCOS', '单片机开发', '嵌入式软件开发', '嵌入式技术', 'Python']",149,博思创至,小型企业,无锡,新吴区
Python开发工程师,大专,3-5年,"['数据开发', '后端', '运维开发', 'Python', 'Golang', 'MySQL', '服务端开发经验', '全栈开发经验', '爬虫经验', '大数据开发', '图片处理']",123,宝坤互联科技,微型企业,无锡,惠山区
SQL,学历不限,1-3年,"['要求数据开发经验', 'SQL', '数据平台开发经验', '其他', '其他']",150,哲赛信息,小型企业,无锡,
兼职python讲师,本科,1-3年,"['爬虫', '数据开发', '机器学习/算法工程', 'Python', '计算机相关专业', '数学/统计相关专业', '服务端开发经验']",354,上元经纬,中型企业,无锡,惠山区
Python、C++、JAVA 、人工智能编程员,本科,1-3年,"['语音/图像识别', 'Java', 'Python', 'C/C++', '机器学习算法/工程化经验', '深度学习经验']",108,无锡超体生命科技,微型企业,无锡,江阴市
Python实习生,本科,经验不限,['Python'],30,漫鲨科技,微型企业,无锡,滨湖区
初级Python工程师,大专,1-3年,"['爬虫', '后端', 'Python', '爬虫经验']",78,趣得科技(无锡)...,小型企业,无锡,新吴区
机器人编程教师,本科,经验不限,[],114,宜兴市慧炬教育科技,微型企业,无锡,宜兴市
"高级后端开发工程师（双休，平台好,PP）",本科,5-10年,"['Java', '大数据经验', '团队管理经验', '低代码方向', 'MySQL', 'Power Platform Apps', '架构设计经验', 'Spring', 'Python']",260,微钉科技,中型企业,无锡,滨湖区
制造业大语言模型(LLM应用工程师),本科,3-5年,"['大语言模型', 'LLM', '生成式AI']",123,健鼎,超大型企业,无锡,
python后端开发工程师,本科,1-3年,"['接受无数字后端工程师经验', '生成式AI应用开发经验', 'LangChain、LangGraph', 'AI模型服务商API对接']",210,雪浪云,中型企业,无锡,滨湖区
python高级开发工程师,本科,3-5年,"['后端', '爬虫', '机器学习/算法工程', 'Python', 'TensorFlow', 'MySQL', '计算机相关专业', '全栈开发经验', '爬虫经验']",165,家娃科技,微型企业,无锡,新吴区
视觉算法工程师,本科,1-3年,"['机器学习', '大模型算法', '图像算法', '模型加速/性能优化', '通信算法', 'C/C++', 'Java', '嵌入式开发', 'SQL']",130,无锡伟测,中大型企业,无锡,新吴区
软件开发工程师,本科,3-5年,"['C++', 'QT', 'Linux开发/部署经验']",240,某中型铁路/船舶/航空/航天制造公司,中型企业,无锡,
python老师,本科,1-3年,"['Python', 'C++']",66,雄孩子机器人,微型企业,无锡,宜兴市
CICT工程师_BCSC,本科,3-5年,"['Python', 'Docker', 'Hadoop', 'Spark', 'Linux开发/部署经验', 'Jenkins', 'CICT', 'ADAS']",240,博世中国 / 集团,超大型企业,无锡,滨湖区
电气工程师,本科,3-5年,"['C++', 'PLC工程师']",150,中星联智能装备,微型企业,无锡,新吴区
python开发工程师,大专,1-3年,"['后端', '运维开发', 'Python', 'Django']",102,同风网络,微型企业,无锡,惠山区
IT培训,大专,在校/应届,"['职业培训班', 'C语言', '全职兼职均可', '全职工作', '线下教学', '助教', '线下授课', 'Python', '培训师']",66,学而慧,微型企业,无锡,锡山区
Python兼职讲师,本科,3-5年,"['Python', 'Java', 'C++', 'C', 'C#', 'Django', 'Flask', 'Tornado', 'Scrapy', 'Numpy', 'MySQL', 'Redis', 'Oracle', 'MongoDB', 'HBase', '架构设计经验', 'Linux开发/部署经验', '爬虫经验', '云计算经验', '运维开发经验']",150,上元教育,大型企业,无锡,江阴市
python老师,本科,1-3年,['Python'],136,无锡立爱科技培训,大型企业,无锡,新吴区
少儿编程教师-python,大专,1-3年,"['Python', 'C++', 'Java', '人工智能', '计算机软件', '信息学奥赛', '教育技术学']",90,叶叶弘,小型企业,无锡,梁溪区
华为软件工程师--C/C++/Python（南京急招）,本科,经验不限,"['C', 'C++', 'Python', 'QT']",320,华为,超大型企业,无锡,江阴市
python爬虫,大专,3-5年,"['Python', 'Java', 'Webmagic', 'Shell', '爬虫']",78,泓屹嘉成,中大型企业,无锡,新吴区
机械测试工程师,本科,1-3年,[],120,伟博科技,中型企业,无锡,新吴区
人工智能训练师,大专,1-3年,[],270,嘉亿仕酒业,小型企业,无锡,江阴市
AI工程师,本科,5-10年,"['算法', '智能应用', 'AI', '大模型']",192,江苏数伽科技有限公司,小型企业,无锡,新吴区
python开发工程师,大专,1-3年,['Python'],84,常州市天益智汇信...,中型企业,无锡,惠山区
Python,本科,1-3年,"['Python', 'Java', 'Selenium', 'MySQL', 'MongoDB', '架构设计经验', '爬虫经验', '运维开发经验']",162,翔游商旅,小型企业,无锡,梁溪区
高级java研发工程师,本科,5-10年,"['Java', 'Kafka', 'SpringCloud', 'Nginx', 'MySQL', '物联网经验', '微服务经验']",234,中科创达,超大型企业,无锡,锡山区
IT开发岗,本科,在校/应届,"['安全运维和保障', '计算机/信息安全相关专业', '安全架构搭建经验', '安全产品/平台开发经验', '安全运维经验']",126,吉利控股集团,超大型企业,无锡,惠山区
全栈工程师,本科,3-5年,[],150,无锡维森派沃科技,中型企业,无锡,惠山区
python爬虫工程师,大专,经验不限,[],78,明宝科技,微型企业,无锡,梁溪区
Python开发工程师,大专,1-3年,"['python', '软件工程师']",78,江苏天益,小型企业,无锡,惠山区
驱动开发工程师（中核）,本科,3-5年,"['C/C++', '计算机相关专业', '自动化相关专业', '电子工程相关专业', 'Linux驱动开发经验', 'Windows驱动开发经验', '智能硬件/可穿戴设备', 'Qt 界面开发经验', 'Chromium嵌入式客户端']",186,无锡人才之家,中型企业,无锡,新吴区
无锡少儿编程老师/c++算法教学/高课时费,本科,经验不限,"['C++算法', '辅导答疑', '少儿编程老师', 'NOIP课程教学', '少儿兴趣', '组织NOIP竞赛']",150,小码教育,大型企业,无锡,梁溪区
自动化测试,大专,1-3年,[],150,华勤通讯,超大型企业,无锡,新吴区
调试工程师,本科,在校/应届,"['C++', 'Python', 'Java', 'MySQL', '计算机相关专业', '软件开发']",126,NIIT--极客营,中型企业,无锡,新吴区
云平台工程师,大专,5-10年,"['Docker', 'MySQL/Oracle', '大数据运维经验', 'linux', '运维开发经验', 'Python/Shell', '网络安全相关经验', 'windows', '运维经验', 'Kubernetes']",120,诚迈科技,大型企业,无锡,
对日高级Java工程师,大专,5-10年,"['Java', 'C', 'C++', 'C#', 'Python', 'Hibernate', 'MySQL']",371,光追科技,小型企业,无锡,新吴区
全栈开发工程师,本科,1-3年,"['Java', '全栈侧重后端', 'JavaScript', 'MySQL/Redis/MongoDB', '计算机相关专业', 'Python']",114,贯方信息,微型企业,无锡,新吴区
python开发工程师,本科,1-3年,"['Python', 'Docker', 'Nginx', 'MySQL', 'Redis', 'MongoDB']",96,锂云科技,小型企业,无锡,惠山区
自动化测试-金融项目-长期稳定,本科,3-5年,"['Java', 'Python', '自动化测试经验', '金融', '银行', '交易支付']",186,人瑞网络科技,超大型企业,无锡,新吴区
赴日Wx软件开发工程师 技术支持 运维日语n1,本科,1-3年,"['C#', 'Golang', 'Java', 'C++', '分布式经验', 'SpringCloud', 'Kafka', 'Redis', 'Dubbo', 'Spring', 'ERP开发经验', 'HBase', '大数据经验', 'MySQL', 'MyBatis', '云计算经验', 'MongoDB', '架构设计经验', 'Oracle', 'Python']",360,某大型计算机服务上市公司,大型企业,无锡,
AI专员（25届应届生）,本科,经验不限,"['Python', 'Docker', 'MySQL', 'agent']",84,新格尔,中大型企业,无锡,滨湖区
测试工程师,本科,3-5年,[],130,佳诚智能,微型企业,无锡,滨湖区
（无锡/长沙）camera 驱动开发工程师,本科,3-5年,"['C/C++', '计算机相关专业', 'Linux驱动开发经验', '嵌入式/RTOS驱动开发经验', '高通/MTK平台开发经验', '英语读写能力良好', 'Sensor驱动开发', '图像传感器', '传感器(sensor)选型', 'python', 'shell']",450,长沙某大型半导体设计与制造上市公司,大型企业,无锡,
后端开发工程师,大专,1-3年,"['物联网经验', '不接受居家办公', 'GIT', 'MySQL', 'Redis', '车联网', 'SVN', 'SpringBoot', 'Spring', '后端开发', 'Python']",84,无锡普睿物联有限公司,小型企业,无锡,滨湖区
AI应用开发工程师,本科,5-10年,"['Java', 'Python', 'Spring', 'MySQL', '不接受居家办公']",198,爱创科技,中型企业,无锡,新吴区
C++,大专,经验不限,"['Lua', 'SQL', '服务器配置', '网络编程', '游戏开发', '后端开发']",123,手心网络,小型企业,无锡,滨湖区
linux运维,大专,1-3年,"['系统运维', '运维开发/DevOps', 'Python/Shell', 'Docker', '计算机相关专业', '运维经验', '运维开发经验']",195,广信云图,微型企业,无锡,梁溪区
技术研发工程师（机器视觉方向）,本科,1-3年,"['C++', 'Python', 'QT', '架构设计经验']",108,海森伯格科技,微型企业,无锡,锡山区
Python开发工程师,大专,1-3年,"['后端', 'Python', 'Django', 'MySQL', '计算机相关专业', '服务端开发经验', '全栈开发经验']",126,江阴市若雅商贸,微型企业,无锡,江阴市
程天科技招聘质量管理/测试工程师,本科,3-5年,"['SPC', 'MSA', '8D', '电机', '电池']",168,程天科技,中型企业,无锡,
嵌入式固件工程师,本科,1-3年,['C'],352,耀芯电子,小型企业,无锡,滨湖区
后端开发工程师,大专,3-5年,"['python', 'Go']",208,讯联,中型企业,无锡,新吴区
数据分析师,本科,1-3年,"['风险控制', 'SAS', 'Python']",315,无锡锡商银行,中型企业,无锡,锡山区
机器人导航算法工程师,本科,3-5年,[],240,江苏国创智慧农业...,微型企业,无锡,
高级数据科学家,本科,5-10年,"['风控相关经验', '用户画像/标签体系相关经验', '数据科学', '机器学习', '大数据处理经验', '计算机相关专业', 'Python', '数学/统计相关专业']",126,汇利纺织,中型企业,无锡,江阴市
对日 软件开发工程师,大专,5-10年,"['Java', '不接受居家办公', '微服务经验', 'MySQL', 'Spring']",252,大连睿亭,微型企业,无锡,新吴区
ai产品经理,本科,3-5年,[],162,远卓,中型企业,无锡,江阴市
数据分析师,本科,经验不限,"['SQL', 'Python', 'Power BI', '数学/统计相关专业', '计算机相关专业']",130,无锡宝购供应链管理,小型企业,无锡,梁溪区
Python开发工程师,本科,经验不限,"['C/C++', 'Python']",120,乐骐科技,小型企业,无锡,滨湖区
数据中台工程师,本科,3-5年,"['要求数据开发经验', 'Java', 'Python', 'Scala', '数据平台开发经验', 'Spark', 'Flink', '数学/统计相关专业', '计算机相关专业', '非外包类']",150,中碳环境,小型企业,无锡,滨湖区
测试工程师,本科,5-10年,"['自动化测试经验', 'Java', '服务端测试', '支付链路', '金融信贷支付账单项目', 'Python']",186,数字盛世云图,中型企业,无锡,新吴区
人工智能研发工程师,本科,经验不限,['Python'],150,非诚勿扰资管,小型企业,无锡,滨湖区
电气工程师,本科,3-5年,"['电路设计', 'C++', 'AD', 'Linux', 'CAD', 'eplan']",201,江苏雷博,中型企业,无锡,锡山区
python开发工程师,大专,经验不限,"['深度学习', '算法工程化经验', '模型加速/性能优化', 'Python']",84,江苏学蠡信息科技,微型企业,无锡,新吴区
工程网络实施兼电脑运维工程师,大专,3-5年,[],222,无锡新创力工业设备,小型企业,无锡,滨湖区
高级app开发工程师,本科,5-10年,"['Android客户端产品研发', '架构设计/优化', '研发流程优化', 'HTML5', '多线程编程能力', '数据结构/算法能力', '架构设计能力', '计算机/软件工程相关专业', 'Android开发经验', '前端开发经验']",162,无锡东信软件有限公司,小型企业,无锡,梁溪区
人工智能训练师,本科,1-3年,[],270,江阴市新城东美尚...,小型企业,无锡,江阴市
UE5 开发工程师,本科,5-10年,['Unity3D'],214,枯桐智能,小型企业,无锡,滨湖区
视觉工程师,本科,经验不限,['后端开发，诚聘英才'],270,秉杰机械,小型企业,无锡,滨湖区
简道云低代码平台实施工程师,大专,1-3年,"['ERP', 'CRM', 'WMS', '计算机相关专业', '管理相关专业', '软件实施经验', '低代码', '简道云', 'Python']",110,软唐信息科技,微型企业,无锡,新吴区
jetson机器人软件开发工程师,本科,1年以内,"['接受实习/在校生投递', 'C++', 'C', '嵌入式/单片机开发经验', 'jetson', 'Python']",114,贝塞克设计,微型企业,无锡,惠山区
嵌入式软件开发工程师,大专,3-5年,"['STM32开发', 'C++', 'wifi开发', 'C', '蓝牙模组开发', '嵌入式/单片机开发经验', '4g模组开发', '计算机相关专业']",210,晶哲科技,中型企业,无锡,新吴区
上位机软件工程师,本科,3-5年,"['C#', 'Java', 'C#开发经验', 'MySQL', 'SQL Server', '计算机相关专业', '系统架构设计经验']",210,中盾科技,微型企业,无锡,新吴区
少儿编程老师,大专,1-3年,"['网络编程', 'python', 'wedo', 'scratch']",126,动擎,中大型企业,无锡,梁溪区
c++软件开发工程师,本科,3-5年,"['C++', 'QT', 'OpenGL', '3D渲染', 'CAD/CAM', 'OGRE']",258,某中型铁路/船舶/航空/航天制造公司,中型企业,无锡,
fae技术支持工程师,本科,1-3年,"['C++', 'python', 'Linux系统', 'Vector', 'docker']",143,阿尔飞思,小型企业,无锡,锡山区
数据分析师（无锡）(J14724),本科,3-5年,"['SQL', 'Python', '数学/统计相关专业', '数据分析/挖掘经验']",203,朗新科技集团,大型企业,无锡,滨湖区
Python后台开发工程师,本科,3-5年,"['后端开发', 'Python', '数据挖掘']",114,金风科技,大型企业,无锡,新吴区
平台软件工程师,本科,1-3年,[],126,江苏来能科技有限公司,小型企业,无锡,惠山区
大数据分析师,本科,3-5年,"['SQL', 'Python', '墨刀', 'Powerbi']",240,雅迪集团,大型企业,无锡,锡山区
机器人教师,本科,经验不限,"['中学生', '坐班', '线下教育', '学前儿童/小学生']",150,斯坦星球,中大型企业,无锡,惠山区
c++软件开发工程师,本科,5-10年,"['C++服务端开发经验', 'Java', '团队管理经验', 'C++', 'C', '架构设计经验', '计算机相关专业', 'Linux开发/部署经验']",292,瑞宁,小型企业,无锡,宜兴市
数字后端设计工程师(J12712),本科,3-5年,"['有数字后端工程师经验', '3-5年数字后端工程师经验', '量产经验', '低功耗设计经验']",240,众星微,中型企业,无锡,新吴区
服务器存储工程师,本科,1-3年,"['服务器存储运维', '系统运维', '计算机相关专业', '运维经验', 'IDC机房运维']",126,上海快服,中型企业,无锡,新吴区
后端开发工程师,本科,3-5年,"['Golang', 'Docker', 'MongoDB', '计算机相关专业', 'Python']",144,无锡九方科技有限公司,中型企业,无锡,滨湖区
AI工程师,本科,1-3年,"['Python', 'Java', 'PyTorch', 'TensorFlow', 'Redis', 'Spark', '微服务经验', '机器学习经验']",102,无锡崧山铭科技,微型企业,无锡,新吴区
java开发,本科,3-5年,"['不接受居家办公', 'Java', 'Spring', 'SpringCloud', 'MyBatis', 'Nginx', 'Docker', 'MySQL', 'Redis', 'MongoDB', '架构设计经验', '分布式经验', '物联网经验', '大数据经验']",96,无锡枫泽云创,微型企业,无锡,惠山区
视觉工程师,本科,3-5年,"['C/C++', 'Python', '图像处理库（OpenCV等）', '深度学习', '机器学习']",240,无锡博而远,中型企业,无锡,新吴区
Python开发-数据分析员,大专,1-3年,"['C#', 'Nginx', 'Django', 'MySQL', 'Python']",90,展贸通科技,微型企业,无锡,梁溪区
车载测试工程师,大专,3-5年,"['自动化测试', '稳定性', '兼容性']",217,华勤技术股份有限公司,超大型企业,无锡,新吴区
嵌入式开发工程师,本科,3-5年,[],210,果下科技股份有限公司,中型企业,无锡,惠山区
高级前端开发,本科,5-10年,"['Vue', 'Java', 'JavaScript', '计算机/软件工程相关专业', '前端开发经验', '架构师经验', '不接受居家办公']",240,智简,中型企业,无锡,新吴区
python少儿编程老师,本科,1-3年,"['全职', '线下教育']",84,智傲科技,小型企业,无锡,江阴市
渗透工程师,本科,3-5年,"['渗透测试经验', '渗透测试']",150,智发启星,小型企业,无锡,滨湖区
硬件工程师,本科,经验不限,['硬件开发经验'],102,中博软科,微型企业,无锡,滨湖区
机器人教师,大专,1-3年,"['小班教学（3-25人）', '线下教育', '小学教育', '学前教育', '线下授课', '教师资格证', '教育学专业背景', '全职兼职均可', '坐班', '熟练掌握计算机语言', '理工科教育背景', '学前儿童/小学生']",78,乐高教育,小型企业,无锡,滨湖区
医疗器械软件工程师（气液路自动控制算法）,本科,3-5年,"['Python', 'C++', 'C', 'Java', '气液路自动控制算法', '医疗软件标准']",390,无锡某小型医疗器械公司,小型企业,无锡,
软件测试/开发工程师（异地招聘-苏州）,本科,经验不限,"['功能测试', '性能测试', '自动化测试']",384,苏州华为技术研发,超大型企业,无锡,梁溪区
存储芯片测试工程师,本科,3-5年,['ATE芯片测试'],280,浙江驰拓科技有限公司,中型企业,无锡,新吴区
后端开发工程师,本科,1-3年,"['Java', '后端开发经验', '计算机/软件工程相关专业', 'Python', 'SQL']",186,上海罗尔斯达科技,小型企业,无锡,滨湖区
程序员,本科,1-3年,['python、matlab'],150,无锡爱德为,微型企业,无锡,江阴市
软件开发工程师,本科,3-5年,"['Python', 'MySQL', '机器学习经验']",150,杰瑞德自动化,中型企业,无锡,惠山区
SRE高级开发工程师,本科,3-5年,"['Python', 'Golang', 'C++', 'PyTorch', '分布式经验', '运维开发经验', 'SRE', 'vLLM', '大模型分布式推理', 'AI or GPU']",412,燧原科技,中型企业,无锡,新吴区
爬虫工程师,本科,1-3年,['数据分析'],126,六贤,中型企业,无锡,锡山区
plc软件工程师,本科,3-5年,"['西门子1200/1500', '上位机', 'python']",292,某知名进出口贸易公司,大型企业,无锡,
高级大数据开发工程师,大专,3-5年,"['要求数据开发经验', '数据平台开发经验', 'MySQL/SQL Server', 'Python', '其他']",150,众星汇创,小型企业,无锡,滨湖区
大数据分析工程师,本科,3-5年,"['Python', 'SPSS', 'SAS', '数据分析/挖掘经验', '数学/统计相关专业', '计算机相关专业']",210,江苏华溯,微型企业,无锡,惠山区
算法工程师,本科,经验不限,"['大模型算法', '图像算法', 'Python', 'MATLAB']",110,海澜智云,中型企业,无锡,江阴市
数据分析师,本科,3-5年,"['数据建模', '数据拟合']",150,普沃思(上海公司),中型企业,无锡,锡山区
AI开发,本科,1-3年,"['深度学习', '大模型算法', '自然语言处理算法', '数据挖掘', '推荐算法', '图像算法', '搜索算法', 'C/C++', 'Python', '大数据处理工具(Spark/Hadoop/Hive)', '并行计算', '算法工程化经验', '团队管理经验', 'AI开发', '医疗AI', '文件核查AI']",126,临研通,中型企业,无锡,惠山区
Python老师,本科,1-3年,"['Python', 'C++']",102,梁溪区码童学咨询...,微型企业,无锡,梁溪区
AI应用工程师,本科,1-3年,"['Java', '深度学习', '有大模型应用经验', '数据挖掘', '推荐算法', 'Python', 'SQL']",270,医迈德,小型企业,无锡,新吴区
测试工程师,本科,3-5年,[],217,北京木牛一心机器...,中型企业,无锡,梁溪区
对日BSE,本科,5-10年,"['Java', '团队管理经验', '不接受居家办公']",114,森茂科技,中型企业,无锡,新吴区
跨境电商数据工程师,本科,1-3年,['Python'],102,无锡美颜琼,小型企业,无锡,新吴区
赴日软件工程师,本科,5-10年,"['C#', 'Java', 'Hibernate', '团队管理经验', '日语', 'MySQL', '接受无前端经验/技能', 'Spring', 'Python']",270,ntt data,大型企业,无锡,新吴区
高级自动化测试工程师,本科,5-10年,"['TestNG', 'Selenium', 'JMeter']",224,Pacvue 泊客电商,中型企业,无锡,新吴区
机器人编程教师,本科,1-3年,"['接受实习/在校生投递', '教育学专业背景', '大型教育机构经验', '坐班', '中学生', '熟练掌握计算机语言', '小班教学（3-25人）', '线下教育', '学前儿童/小学生', '一对一教学', '普通话发音标准', '全职']",120,瓦力工厂无锡旗舰校,小型企业,无锡,梁溪区
Python,本科,1-3年,"['HTML', '前端开发', 'SQL', 'JavaScript', 'HTML5', 'Linux', 'Windows', 'Web端']",126,智鸿达电子,微型企业,无锡,梁溪区
私有云运维工程师,本科,1-3年,[],126,无锡市奥维尔自动...,微型企业,无锡,梁溪区
大模型工程师,本科,1-3年,['大模型'],240,无锡览山信息科技,中型企业,无锡,新吴区
IT信息化工程师,大专,5-10年,"['企业内部IT技术支持', 'IT技术支持经验', 'AI部署', 'ERP/OA/CRM支持经验', 'Python']",126,无锡激擎光电科技,中型企业,无锡,滨湖区
运维工程师（算法方向）,大专,3-5年,[],246,某大型风电技术服务商上市公司,大型企业,无锡,
Golang,本科,1-3年,"['Golang', 'Python', 'C++', 'Docker', '计算机相关专业', 'Golang服务端开发经验']",133,科湃科技,微型企业,无锡,滨湖区
电子电气工程师,大专,1-3年,"['电控工程师', '电子工艺工程师', '电子元器件工程师']",126,江苏萨尔流体工程,微型企业,无锡,新吴区
充电桩项目经理,本科,5-10年,[],227,博美芯电子科技,小型企业,无锡,梁溪区
it工程师,本科,经验不限,['企业内部IT技术支持'],123,无锡住友电工运泰克,中型企业,无锡,新吴区
软件验证工程师,本科,1-3年,"['嵌入式测试', 'C++', '测试工作经验', '嵌入式测试']",126,晶诺测试,小型企业,无锡,滨湖区
软件开发工程师（省创中心）,本科,3-5年,"['C++', 'C', 'Boost', 'CAD', 'STL', 'Open Cascade']",240,集萃华科,中型企业,无锡,惠山区
ai算法工程师,本科,1-3年,"['C/C++', 'Python']",270,友机技术,中型企业,无锡,滨湖区
运维开发工程师,本科,经验不限,"['Java', 'Docker', 'Linux', 'Zabbix/Prometheus', 'Python/Shell']",138,神工坊,微型企业,无锡,滨湖区
2024资深嵌入式软件工程师,本科,5-10年,"['计算机相关专业', '通信相关专业', '嵌入式/单片机开发经验', '2.4G', 'KEIL', '无线通讯']",195,无锡真源科技有限公司,小型企业,无锡,新吴区
数据库运维工程师,本科,3-5年,"['Shell', 'MySQL', 'Oracle', 'DBA工作经验', 'MySQL数据库管理经验', '熟悉Linux/Unix系统', 'OCP']",147,盛合晶微,大型企业,无锡,江阴市
python高级开发工程师,本科,3-5年,"['爬虫', '数据开发', 'Shell', 'MySQL', '全栈开发经验', '后端', '计算机相关专业', 'Python', '数学/统计相关专业']",240,江苏华亦扬信息科技,微型企业,无锡,江阴市
linux运维工程师,本科,1-3年,"['系统运维', 'Docker', 'Kubernetes', 'Python/Shell', '计算机相关专业', '运维经验', '网络安全相关经验']",150,九安数据,中型企业,无锡,滨湖区
嵌入式软件工程师,本科,3-5年,"['C', 'C语言', '示波器', '嵌入式/单片机开发经验', '软件测试', '嵌入式软件开发', '英语读写能力良好', '驱动开发']",217,凌思科技,小型企业,无锡,新吴区
c++,本科,3-5年,"['C++', 'QT']",315,某大型机械设备公司,中大型企业,无锡,
深度学习算法工程师,本科,1-3年,"['PyTorch', 'C语言', '人工智能', '视觉图像算法', 'Caffe', '深度学习算法', 'Python', 'TensorFlow']",224,赛默斐视,小型企业,无锡,新吴区
IT工程师,本科,3-5年,"['Java', '宜搭低代码平台', 'Zoho系统二次开发', 'MySQL', 'SpringBoot', 'Oracle', '云计算平台', 'Python']",234,壹阳能源,中型企业,无锡,新吴区
AI产品经理（教育类）,本科,1-3年,"['机器学习类AI', 'AI机器人']",186,无锡中育智慧数字技术,小型企业,无锡,惠山区
少儿编程老师,大专,1-3年,"['python', 'scratch', '图形化编程', '教育培训', '机器人编程', '竞赛']",91,上海优必杰,中型企业,无锡,滨湖区
后端开发工程师,大专,1-3年,"['Python', 'CSS', 'HTML']",108,江苏特设,微型企业,无锡,滨湖区
上位机软件工程师,本科,3-5年,"['C#', 'Python', '系统架构设计经验']",227,捷视,小型企业,无锡,锡山区
核价专员,本科,1-3年,"['制造业', '锻造']",136,派克新材,大型企业,无锡,滨湖区
交付工程师,本科,1-3年,"['LINUX', 'python', 'Java', 'k3s']",110,悠派,中大型企业,无锡,滨湖区
后端开发工程师,本科,3-5年,"['Java', 'Hibernate', '分布式经验', 'SpringCloud', 'SpringBoot', 'Spring', '大数据经验', 'GIT', 'Docker', '微服务经验', 'Linux', 'MySQL', '微服务架构', '人工智能', 'Oracle']",174,扬铭科技,中型企业,无锡,滨湖区
人工智能研发工程师,硕士,在校/应届,['Python'],120,中船奥蓝托,中型企业,无锡,滨湖区
可视化交互设计师,大专,1-3年,"['Sketch', '大厂经验', '编程能力', '了解各平台设计规范', '交互设计', '视觉设计', '原型设计', '客户端', '移动端', '网页端', '交互应用']",120,升冉影视,小型企业,无锡,滨湖区
IT技术经理/远程办公,本科,10年以上,"['互联网/AI', 'PHP', '前端', '后端', 'laravel']",198,易新网络,小型企业,无锡,梁溪区
机器人调试工程师,本科,3-5年,"['性能测试', '自动化测试', '嵌入式测试', 'Python', '计算机相关专业', '测试工作经验', '通信相关专业', '嵌入式测试']",126,星微科技,小型企业,无锡,新吴区
rpa工程师,大专,1-3年,"['Python', 'Java', 'C++', 'Django', 'Flask', 'Tornado', 'Scrapy', 'MySQL', 'Redis', 'Oracle', 'MongoDB', '架构设计经验', '爬虫经验', '机器学习经验']",78,雄则贸易有限公司,小型企业,无锡,
大数据开发工程师,本科,经验不限,"['要求数据开发经验', '数据平台开发经验', '数据仓库开发经验', 'Kafka', 'Spark', '实时数仓开发经验', '数据建模经验', '非外包类', 'Java', 'Python']",258,台铃科技,大型企业,无锡,锡山区
PLC工程师,本科,3-5年,[],240,大族机器人,中型企业,无锡,新吴区
视觉工程师,本科,3-5年,"['C/C++', '机器学习', '图像算法', '深度学习', '算法工程化经验', '大模型算法', '强化学习', 'Python']",216,江苏精益,小型企业,无锡,滨湖区
网络测试工程师,本科,3-5年,['测试'],345,DapuStor,中型企业,无锡,
Linux C软件工程师,本科,1-3年,"['Linux', 'C/C++', '系统开发', '内核', '驱动开发', '嵌入式技术', '软件工程师']",150,上海君众,小型企业,无锡,滨湖区
