职位,学历,经验,技能列表,年薪,公司,公司规模,城市,区域
机器视觉算法工程师,本科,1-3年,"['Python', '深度学习', '机器学习', '目标检测', '工业/缺陷检测']",280,元始智能科技,小型企业,南通,崇川区
华为软件工程师-C/C++/Python/JAVA/JS,本科,经验不限,"['C', 'Java', 'Python', 'QT']",320,华为,超大型企业,南通,
图像算法工程师（项目公司岗位）,硕士,经验不限,"['深度学习', '图像算法', 'C/C++', '算法工程化经验', '图像处理', '数据处理分析']",149,北大长三角光电院,小型企业,南通,
渗透测试工程师,大专,1-3年,"['Java', 'Python', '代码审计', 'iOS', '安全测试', 'BurpSuite', 'SqlMap', 'Nmap']",72,濠云网络,小型企业,南通,崇川区
影像软件工程师,本科,在校/应届,"['C++服务端开发经验', 'C++', 'C语言', 'Python']",96,南通爱科瑞新技术,微型企业,南通,崇川区
渗透测试工程师​,本科,3-5年,[],110,江苏正信信息安全测试,中型企业,南通,
少儿编程机器人老师,大专,1-3年,"['一对一教学', '小班教学（3-25人）', '学前儿童/小学生', '熟练掌握计算机语言', '全职']",72,恩欣文化传媒有限公司,微型企业,南通,崇川区
软件开发工程师（苏州、无锡、南通）,本科,3-5年,"['Java', '不接受居家办公', '微服务经验', 'MySQL', '架构设计经验', 'Spring']",120,凌志软件,大型企业,南通,如皋市
车辆运维工程师,大专,1-3年,['实施交付运维'],84,德科信息有限公司,大型企业,南通,
数据支持专员,本科,经验不限,"['Python', 'Tableau', 'Power BI', '数学/统计相关专业', '计算机相关专业', '经济/工商管理相关专业', '数据分析/挖掘经验']",66,新东方,超大型企业,南通,
java开发工程师,大专,3-5年,"['Java', 'SpringCloud', 'MySQL', 'PHP', 'MongoDB', '架构设计经验', 'Spring', 'Python']",126,南通环宇网络科技,微型企业,南通,海安市
风控数据分析师,本科,3-5年,"['Python', 'SQL', 'R', '金融行业相关经验']",162,冰草,小型企业,南通,崇川区
测试设备开发工程师,大专,3-5年,"['性能测试', '软件开发经验']",97,江苏威尔曼,中大型企业,南通,海安市
高级全栈工程师,本科,1-3年,"['后端开发经验', '全栈侧重后端', 'Vue', 'HTML', 'MySQL/Redis/MongoDB', '计算机相关专业', 'React', '前端开发经验', '英语读写能力良好', '全栈项目经验']",104,小猿教育,中型企业,南通,如皋市
深度学习模型调参与训练工程师,本科,1-3年,"['机器学习', '大模型算法', '图像算法', 'Python']",150,江苏银服智能装备,小型企业,南通,
软件开发项目主管-日本工作方向,大专,5-10年,"['Java', '不接受居家办公', '团队管理经验', 'SpringCloud', 'MySQL', '日本工作']",300,南通苏慧,小型企业,南通,崇川区
python工程师,大专,1-3年,"['Python', 'SQL', 'ERP']",96,今晨科技,微型企业,南通,崇川区
cocoscreator游戏开发工程师,本科,1-3年,"['Cocos Creator', '手游开发经验']",120,达趣,小型企业,南通,
IT运维工程师,本科,1-3年,[],149,深南电路,超大型企业,南通,
光纤传感研发（光学、算法、系统）,硕士,1-3年,"['光纤传感', '分布式光纤', '传感监测']",540,某大型通信/网络设备上市公司,超大型企业,南通,
智能化工程师,大专,3-5年,"['通信相关专业', '机器视觉', '系统运维', '运维开发经验', '视频摄像头', '计算机相关专业', 'Python/Shell', '电子/电气/自动化相关专业']",120,祐云信息,小型企业,南通,
多传感器感知与融合算法工程师,硕士,3-5年,"['C/C++', '毫米波雷达', '光雷达、摄像头', '卡尔曼滤波', '深度学习', '传感器感知与融合算法', '粒子滤波', '融合感知算法', 'Python']",487,某重工公司,小型企业,南通,
少儿编程老师,大专,1年以内,['少儿编程'],72,南通腾骉文化传媒,微型企业,南通,
