职位,学历,经验,公司,"城市,",区域,商圈,技能列表,福利列表
python开发工程师,本科,3-5年,同方鼎欣,北京,海淀区,五道口,"['Bash', 'Python']","['定期体检', '补充医疗保险', '五险一金', '节日福利', '带薪年假', '五险一金']"
python开发工程师,本科,1-3年,华电能源互联网研究院,北京,昌平区,回龙观,"['Python', 'Docker', 'MySQL', '电力交易', '电力市场']","['生日福利', '带薪年假', '定期体检', '五险一金']"
Python开发（base济南）,大专,3-5年,润和软件,北京,朝阳区,望京,"['Python', 'Flask', 'MySQL', 'PostgreSQL', 'Spark', '云计算经验', '机器学习经验', '分布式经验', '运维开发经验']","['食堂', '带薪年假', '节日福利', '团建聚餐', '交通便利', '年终奖', '股票期权', '五险一金']"
python后端开发工程师,本科,3-5年,北京橙哩科技有限公司,北京,丰台区,花乡,"['Python', 'Java', 'Flask', 'MySQL', 'Linux开发/部署经验', '大模型']",[]
python开发-中交,大专,3-5年,玲珑塔科技,北京,海淀区,万柳,"['MySQL', '大模型', 'Python', 'Flask']","['底薪加提成', '五险一金', '节日福利', '全勤奖', '年终奖', '零食下午茶', '定期体检', '员工旅游', '带薪年假']"
python-大模型,本科,3-5年,泽佳科技,北京,丰台区,科技园区,"['PyTorch', 'Docker', 'Django', 'Hadoop', 'Python']","['五险一金', '带薪年假', '通讯补贴', '交通补助', '节日福利']"
python开发工程师,本科,3-5年,大微天成,北京,怀柔区,雁栖,"['Python', 'Flask', 'Django', 'MySQL', 'Redis', 'MongoDB', '分布式经验', '微服务经验']","['工龄奖', '定期体检', '员工旅游', '绩效奖金', '有无线网', '夜班补助', '生日福利', '全勤奖', '节日福利', '年终奖', '餐补', '节假日加班费', '交通补助', '法定节假日三薪', '加班补助', '五险一金', '通讯补贴', '带薪年假', '零食下午茶', '团建聚餐']"
高级python后端开发工程师,本科,5-10年,北京祈安注册安全...,北京,通州区,张家湾,"['Python', 'Docker', 'MySQL', 'Oracle']",[]
Python，C++，JAVA量化编程程序员,本科,3-5年,国磐集团,北京,朝阳区,高碑店,"['Java', 'C++', 'C', 'MySQL', 'Linux开发/部署经验', 'Python']","['包吃', '零食下午茶', '有无线网', '宿舍有空调', '底薪加提成', '工龄奖', '员工旅游', '节日福利', '股票期权', '企业年金', '保底工资', '带薪年假', '免费工装', '绩效奖金', '年终奖', '五险一金']"
python工程师,本科,经验不限,Magic Data,北京,海淀区,学院路,"['爬虫经验', 'MySQL', 'Numpy', 'Python']","['带薪年假', '加班补助', '五险一金', '定期体检', '补充医疗保险']"
服务端工程师（go/python）,本科,5-10年,某大型大数据上市公司,北京,,,"['Web开发', '机器学习经验', '后端API', '其他', '有前端经验/技能', '直播平台', 'AI平台', 'MySQL', '运维开发经验', '云计算经验', 'Linux开发/部署经验', '量化交易开发经验', 'Python']","['五险一金', '节日福利', '交通补助', '零食下午茶', '年终奖', '带薪年假', '餐补', '通讯补贴', '定期体检', '补充医疗保险', '股票期权']"
Python工程师,本科,经验不限,星宇航控,北京,海淀区,西山,"['Python', 'C/C++', 'MySQL', '英语读写能力良好']",[]
Python项目开发,本科,1-3年,北京行至智能技术,北京,海淀区,学院路,"['Python', 'Flask', 'Docker', 'MySQL', 'PostgreSQL', 'MongoDB']",[]
Python后端开发工程师,本科,3-5年,集峰科技,北京,丰台区,花乡,"['Python', 'Django', 'MySQL']","['带薪年假', '五险一金']"
python开发工程师,本科,3-5年,曼迪匹艾,北京,通州区,新华大街,"['Scrapy', 'Hadoop', 'Python']","['定期体检', '节日福利', '年终奖', '交通补助', '带薪年假', '零食下午茶', '餐补', '五险一金']"
Python开发工程师,本科,3-5年,科帆,北京,朝阳区,三里屯,"['Python', 'Java', 'Django', 'Flask', 'MySQL', 'PostgreSQL', 'Redis', '架构设计经验']",[]
Python,本科,3-5年,知达客,北京,丰台区,花乡,"['Python', 'Flask', 'MySQL']",[]
Python后端工程师,本科,1-3年,北京超数智能科技,北京,海淀区,上地,"['MySQL', 'JavaScript']","['底薪加提成', '保底工资', '绩效奖金', '五险一金']"
python开发工程师,本科,经验不限,正印光学,北京,顺义区,后沙峪,"['C++', 'C', 'Python']",[]
高级python开发工程师,大专,5-10年,汉克时代,北京,,,"['Python', 'Golang', '团队管理经验', '架构设计经验', '机器学习经验', 'Agent', 'Prompt']","['带薪年假', '定期体检', '团建聚餐', '节日福利', '五险一金', '生日福利']"
Python后端工程师,本科,3-5年,派悦坊,北京,朝阳区,朝外,"['Django', 'MySQL', '接受无前端经验/技能', '架构设计经验', 'Python']","['节日福利', '年终奖', '五险一金', '零食下午茶', '带薪年假']"
Python开发（Python+vue）,本科,3-5年,尚博信,北京,西城区,德胜门,"['Python', 'PyTorch', 'MySQL', 'vue', 'react']","['定期体检', '节日福利', '带薪年假', '零食下午茶', '员工旅游', '五险一金']"
python开发工程师,本科,1-3年,北京通圆数智科技,北京,昌平区,龙泽,"['Django', 'Python', 'Flask']","['零食下午茶', '五险一金']"
Python,本科,经验不限,杭州华用北京分公司,北京,昌平区,回龙观,"['Linux', 'MySQL', '计算机软件', '软件工程师', 'Linux开发/部署经验', '网络安全', 'Flask', 'Python']",[]
初级python工程师,本科,1-3年,某计算机软件公司,北京,,,"['Python', 'PyTorch', 'Docker', 'MySQL']","['带薪年假', '法定节假日三薪', '五险一金', '团建聚餐', '生日福利', '节日福利', '年终奖', '零食下午茶']"
python研发工程师,本科,经验不限,空天院,北京,海淀区,中关村,"['机器学习/算法工程', 'Python', 'TensorFlow', 'PyTorch']","['补充医疗保险', '年终奖', '节日福利', '绩效奖金', '交通补助', '餐补', '带薪年假', '五险一金', '定期体检', '生日福利', '加班补助']"
python开发,本科,5-10年,东方国信,北京,朝阳区,朝外,"['Scrapy', 'PyTorch', 'Pandas', 'MySQL', 'Numpy', 'Python', 'TensorFlow']","['法定节假日三薪', '五险一金', '带薪年假', '加班补助', '年终奖', '节日福利', '股票期权', '团建聚餐', '电脑补贴', '意外险', '定期体检']"
python后端开发工程师,本科,1-3年,雷铭科技,北京,丰台区,花乡,"['Python', 'Flask', 'MySQL', 'Linux开发/部署经验']","['加班补助', '定期体检', '五险一金', '员工旅游', '餐补', '年终奖', '节日福利', '带薪年假', '零食下午茶']"
Python开发工程师,本科,3-5年,WIT,北京,海淀区,东小口,"['Pandas', 'MySQL', 'Linux开发/部署经验', 'Python']","['五险一金', '年终奖', '定期体检', '节日福利', '带薪年假', '员工旅游', '股票期权']"
Python,本科,经验不限,奢行旅游,北京,朝阳区,慈云寺,"['后端', '爬虫', '数据开发', 'Python', '计算机相关专业', '爬虫经验', '数学/统计相关专业']","['保底工资', '带薪年假', '员工旅游', '住房补贴', '补充医疗保险', '五险一金', '底薪加提成', '年终奖', '加班补助', '餐补', '定期体检', '绩效奖金', '夜班补助']"
python开发,大专,经验不限,星河卓越,北京,海淀区,上地,"['Docker', 'MongoDB', 'Python']",[]
Python,本科,3-5年,云识图,北京,丰台区,菜户营,"['优先有气象背景', 'PyTorch', '分布式经验', 'Docker', 'Django', 'PostgreSQL', 'Pandas', 'MySQL', 'Redis', 'Linux开发/部署经验', '后端开发', 'Python']","['五险一金', '定期体检', '加班补助', '全勤奖']"
