职位,学历,经验,公司,"城市,",区域,商圈,技能列表,福利列表
python开发工程师,本科,3-5年,珥仁,南京,建邺区,双闸,"['Java', 'Django', 'Pandas', 'MySQL', '架构设计经验', 'Oracle', '有前端经验/技能', 'Numpy', 'Python', 'Flask']","['带薪年假', '加班补助', '全勤奖', '年终奖', '员工旅游', '五险一金', '节日福利']"
python后端工程师,本科,经验不限,聆韵,南京,雨花台区,铁心桥,"['后端', 'Python']","['五险一金', '定期体检', '全勤奖', '年终奖']"
南京Python开发工程师,本科,1-3年,上海玄信,南京,栖霞区,仙林大学城,"['运维开发', 'Python', '计算机相关专业']","['加班补助', '包吃', '员工旅游', '零食下午茶', '年终奖', '五险一金', '定期体检']"
Python工程师,本科,1-3年,南京智慧水运,南京,鼓楼区,幕府山,"['Windows', '算法基础', '分布式技术', 'MySQL', 'python', '深度学习']","['团建聚餐', '节日福利', '底薪加提成', '零食下午茶', '带薪年假', '员工旅游', '内部算法集训', '餐补', '年终奖', '定期体检', '补充医疗保险', '五险一金']"
Python,本科,3-5年,云聚互联,南京,雨花台区,软件大道,"['Python', 'Django', 'Tornado', 'MySQL', 'Redis', 'MongoDB', '架构设计经验', 'Linux开发/部署经验']","['股票期权', '节日福利', '员工旅游', '年终奖', '五险一金', '带薪年假']"
python爬虫工程师,本科,,南京微小宝,南京,,,"['爬虫', '爬虫经验', '接受实习/在校生投递', '数据分析', 'MySQL', 'Python', '数据清洗']","['节日福利', '创新奖', '入职体检', '团建活动', '员工旅游', '婚育礼金', '工作服', '绩效奖金', '带薪年假', '零食下午茶', '年终奖', '全勤奖', '定期体检', '生日关怀', '五险一金']"
Python开发工程师,本科,1年以内,控维通信科技,南京,江宁区,麒麟镇,"['Linux', 'Python']","['年终奖', '免费班车', '带薪年假', '五险一金', '节日福利', '生日福利', '补充医疗保险', '免费工装', '高温补贴', '定期体检']"
AI/机器学习工程师（Python助理工程师）,本科,,智檬智能,南京,栖霞区,仙林大学城,"['Java', 'C++', 'Scrapy', 'C', 'PostgreSQL', 'Hadoop', 'Numpy', '爬虫经验', '接受实习/在校生投递', 'PyTorch', '微服务经验', 'Django', 'MySQL', 'PHP', '云计算经验', 'Tornado', 'MongoDB', 'Oracle', 'Linux开发/部署经验', 'Python']","['节日福利', '零食下午茶', '员工旅游', '定期体检', '年终奖', '五险一金', '带薪年假']"
Python,大专,1-3年,诗情画意,南京,鼓楼区,湖南路,"['Python', 'Django', 'MySQL', '团队管理经验', '架构设计经验', 'Linux开发/部署经验', '接受实习/在校生投递']","['带薪年假', '餐补', '节日福利', '全勤奖', '通讯补贴', '员工旅游', '五险一金', '加班补助', '年终奖', '住房补贴', '交通补助']"
python开发,本科,3-5年,南京瑞玥科技有限公司,南京,鼓楼区,三牌楼,"['Django', 'MySQL', '架构设计经验', 'Python', 'Flask']","['年终奖', '五险一金']"
