职位,学历,经验,公司,"城市,",区域,商圈,技能列表,福利列表
软件开发工程师（JAVA/Python/C++）,本科,1-3年,华为技术有限公司,南京,雨花台区,南京南站,"['Java', 'Python', '分布式技术', '服务器配置', '微服务架构', 'Linux', 'Spring', 'MVC开发']","['节假日加班费', '法定节假日三薪', '定期体检', '节日福利', '绩效奖金', '五险一金', '员工旅游', '保底工资', '零食下午茶', '免费班车', '生日福利', '带薪年假', '年终奖', '团建聚餐', '股票期权', '加班补助', '交通补助', '补充医疗保险', '夜班补助', '离职补偿']"
大数据开发(运维_Java_Python_C++_Sql_JS),本科,1-3年,华为,南京,雨花台区,小行,"['Java', '计算机软件', '大数据', '云计算', '分布式技术', 'JavaScript', 'SQL', 'HTML', 'CSS', 'Scala', 'Spring', 'JQuery']","['交通补助', '股票期权', '节假日加班费', '零食下午茶', '团建聚餐', '节日福利', '补充医疗保险', '法定节假日三薪', '免费班车', '定期体检', '加班补助', '意外险', '夜班补助', '企业年金', '绩效奖金', '五险一金', '员工旅游', '保底工资', '带薪年假', '年终奖']"
python开发工程师,大专,3-5年,上海思芮,南京,雨花台区,安德门,"['Django', 'MySQL', 'Python']","['补充医疗保险', '五险一金']"
python开发(算法）-国睿,大专,3-5年,雀翼科技,南京,江宁区,百家湖,"['Python', 'Django', 'Numpy', 'PyTorch', 'MySQL']","['五险一金', '加班补助', '带薪年假', '餐补', '节日福利', '零食下午茶']"
python开发工程师,本科,1-3年,优泰科技,南京,建邺区,江东,"['爬虫经验', 'Pandas', 'MySQL', 'MongoDB', 'Numpy', 'Python']","['双休', '员工旅游', '年终奖', '带薪年假', '餐补', '五险一金', '节日福利', '零食下午茶', '交通补助']"
Python-统招本科-wb6wwa,大专,3-5年,版石控股集团有限公司,南京,江宁区,麒麟镇,"['fastapi', 'Django', 'MySQL', 'Redis', 'MongoDB', 'Python', 'Flask', 'Kubernetes']","['全勤奖', '保底工资', '年终奖', '有无线网', '生日福利', '意外险', '节日福利', '工龄奖', '底薪加提成', '五险一金', '团建聚餐', '带薪年假', '免费班车', '交通补助', '绩效奖金']"
python安全开发工程师,大专,经验不限,绿和,南京,雨花台区,安德门,"['Django', 'MySQL', '渗透测试', 'Python', 'Flask']","['定期体检', '团建聚餐', '五险一金', '加班补助', '年终奖', '生日福利', '节日福利', '带薪年假', '零食下午茶']"
央企正编-Python工程师,本科,1-3年,北京某大型互联网金融上市公司,南京,,,"['Python', 'Numpy', 'Pandas', 'Flask', 'Django', 'MySQL', 'Oracle', 'HBase', 'Linux开发/部署经验']","['有无线网', '员工旅游', '节日福利', '团建聚餐', '年终奖', '零食下午茶', '通讯补贴', '带薪年假', '补充医疗保险', '保底工资', '生日福利', '意外险', '绩效奖金', '交通补助', '全勤奖', '底薪加提成']"
高薪诚聘Python开发非外派双休电话面试,本科,3-5年,软通动力,南京,江宁区,东山,"['爬虫经验', 'PyTorch', 'Pandas', 'Hadoop', 'Spark', '量化交易开发经验', 'Python', 'Flask', 'TensorFlow']","['带薪年假', '节日福利', '通讯补贴', '交通补助', '生日福利', '免费班车', '零食下午茶', '五险一金', '加班补助', '定期体检', '团建活动', '补充医疗保险']"
软件测试工程师（自动化，python）,本科,经验不限,华为,南京,雨花台区,安德门,"['Golang', 'Java', 'Django', 'MySQL', '运维开发经验', 'Redis', 'Tornado', '架构设计经验', 'Oracle', 'Linux开发/部署经验', 'Python', 'Flask']","['绩效奖金', '股票期权', '团建聚餐', '加班补助', '员工旅游', '保底工资', '带薪年假', '法定节假日三薪', '节日福利', '定期体检', '年终奖', '零食下午茶', '节假日加班费', '意外险', '五险一金', '夜班补助', '免费班车', '补充医疗保险', '企业年金', '交通补助']"
Java/Python/C++/C/Go开发、测试、运维,本科,经验不限,华为技术有限公司,南京,雨花台区,安德门,"['Java', 'C++', 'Python', 'Spring', 'MyBatis', 'JVM', 'MySQL', 'Hive', 'SQL Server', '不接受居家办公', '架构设计经验', '云计算经验', '物联网经验']","['团建聚餐', '离职补偿', '带薪年假', '免费班车', '法定节假日三薪', '五险一金', '股票期权', '补充医疗保险', '定期体检', '加班补助', '夜班补助', '节假日加班费', '零食下午茶', '保底工资', '交通补助', '员工旅游', '绩效奖金', '节日福利', '年终奖', '生日福利']"
python开发,本科,3-5年,华通科技,南京,雨花台区,安德门,"['爬虫经验', 'Docker', 'Django', 'MySQL', '运维开发经验', '云计算经验', 'Linux开发/部署经验', 'Python']","['五险一金', '交通补助', '带薪年假', '餐补', '免费班车', '节日福利']"
python工程师(线上、远程兼职),大专,经验不限,带新娱乐,南京,栖霞区,仙林大学城,"['Python', 'Django', 'Scrapy', 'Pandas', 'MySQL', 'Spark', 'Hive']","['底薪加提成', '全勤奖', '五险一金', '保底工资', '定期体检', '团建聚餐', '绩效奖金', '员工旅游', '带薪年假', '有无线网', '节日福利', '年终奖', '零食下午茶']"
python算法开发技术员,本科,,南京腾思网络科技,南京,浦口区,江浦,"['Python', 'PyTorch', 'TensorFlow', 'MySQL', '机器学习经验']","['底薪加提成', '节日福利', '有无线网', '零食下午茶', '五险一金', '定期体检', '餐补', '绩效奖金', '高温补贴']"
Python开发工程师 实习生,本科,,边缘智能研究院,南京,,,"['网络爬虫技术', 'Django', 'Flask', 'Scrapy', 'Pyspider']","['加班补助', '定期体检', '带薪年假', '节日福利', '包吃', '五险一金']"
Python开发3-5年南京现场面试,大专,3-5年,南京博锐星润软件,南京,鼓楼区,山西路,"['Python', 'Scrapy', '分布式经验', 'scapy框架']",[]
C/C++/java/python/web/算法/测试,本科,经验不限,西安华为技术有限公司,南京,雨花台区,安德门,"['Java', 'C++', 'C', 'Scrapy', 'Tornado', 'Flask', 'MySQL', 'Redis', 'Oracle']","['团建聚餐', '五险一金', '加班补助', '定期体检', '零食下午茶', '包吃', '全勤奖', '年终奖', '餐补', '绩效奖金', '交通补助']"
python后端工程师,本科,在校/应届,南京玻尔兹曼信息科技,南京,浦口区,江浦,"['Scrapy', '爬虫经验', 'PyTorch', '机器学习经验', 'Redis', '架构设计经验', 'Python', 'Flask', 'HBase']","['夜班补助', '年终奖', '加班补助', '五险一金', '绩效奖金', '股票期权']"
Python,本科,经验不限,华为终端有限公司,南京,雨花台区,安德门,"['Python', 'Django', 'MySQL', 'Redis', 'Oracle', '分布式经验', '微服务经验']","['五险一金', '节日福利', '加班补助', '通讯补贴', '带薪年假', '交通补助', '年终奖', '免费班车', '意外险', '零食下午茶', '定期体检', '生日福利', '股票期权', '住房补贴', '补充医疗保险', '节假日加班费']"
Python,本科,3-5年,深圳微蚂蚁,南京,浦口区,泰山,"['深度学习', '大模型算法', '模型加速/性能优化', 'Python']","['团建聚餐', '交通补助', '零食下午茶', '生日福利', '餐补', '节日福利', '五险一金']"
Python（13薪+全额公积金+双休）,大专,3-5年,中软国际科技,南京,雨花台区,铁心桥,"['C++', '爬虫经验', 'PyTorch', 'MySQL', 'python开发', 'Python']","['五险一金', '定期体检', '加班补助']"
